trial,lambda,acc,nmi,time,pred
0,1e-08,0.8819444444444444,0.9377117023073309,0.5707437992095947,[ 1  1  1 ... 10 10 10]
1,1e-08,0.8854166666666666,0.9514817124394744,0.3171255588531494,[ 1  1  1 ... 11 11 11]
2,1e-08,0.8861111111111111,0.9520450493036947,0.32802486419677734,[1 1 1 ... 8 8 8]
3,1e-08,0.8819444444444444,0.9377117023073309,0.3225250244140625,[ 1  1  1 ... 17 17 17]
4,1e-08,0.8854166666666666,0.9461332256714716,0.22307634353637695,[ 1  1  1 ... 13 13 13]
5,1e-08,0.8819444444444444,0.9377117023073309,0.3668172359466553,[ 1  1  1 ... 12 12 12]
6,1e-08,0.8819444444444444,0.9377117023073309,0.3302772045135498,[ 0  0  0 ... 12 12 12]
7,1e-08,0.8819444444444444,0.9377117023073309,0.545255184173584,[ 1  1  1 ... 10 10 10]
8,1e-08,0.8819444444444444,0.9377117023073309,0.32273101806640625,[ 1  1  1 ... 12 12 12]
9,1e-08,0.8854166666666666,0.9461332256714716,0.2529337406158447,[ 1  1  1 ... 10 10 10]
10,1e-08,0.8819444444444444,0.9377117023073309,0.3261563777923584,[ 1  1  1 ... 14 14 14]
11,1e-08,0.8819444444444444,0.9376920389990462,0.7473101615905762,[ 1  1  1 ... 10 10 10]
12,1e-08,0.8819444444444444,0.9377117023073309,0.342663049697876,[ 1  1  1 ... 12 12 12]
13,1e-08,0.8861111111111111,0.9520450493036947,0.42757105827331543,[ 1  1  1 ... 10 10 10]
14,1e-08,0.8819444444444444,0.9376920389990461,0.45217061042785645,[ 1  1  1 ... 11 11 11]
15,1e-08,0.8819444444444444,0.9377117023073309,0.4029877185821533,[ 1  1  1 ... 12 12 12]
16,1e-08,0.8854166666666666,0.9510256338604521,0.9351582527160645,[ 1  1  1 ... 13 13 13]
17,1e-08,0.8819444444444444,0.9376920389990462,1.3093478679656982,[ 1  1  1 ... 10 10 10]
18,1e-08,0.8819444444444444,0.9376920389990463,0.7335202693939209,[ 1  1  1 ... 14 14 14]
19,1e-08,0.8819444444444444,0.9377117023073309,0.4590482711791992,[ 1  1  1 ... 12 12 12]
0,1e-06,0.8861111111111111,0.9520450493036947,0.43016719818115234,[ 1  1  1 ... 10 10 10]
1,1e-06,0.8819444444444444,0.9377117023073309,0.3229026794433594,[ 0  0  0 ... 12 12 12]
2,1e-06,0.8819444444444444,0.9376920389990462,0.5322518348693848,[ 1  1  1 ... 11 11 11]
3,1e-06,0.8861111111111111,0.9520450493036947,0.33063435554504395,[ 1  1  1 ... 12 12 12]
4,1e-06,0.8819444444444444,0.9377117023073309,0.34014320373535156,[ 0  0  0 ... 12 12 12]
5,1e-06,0.8819444444444444,0.9376920389990461,0.42437148094177246,[ 1  1  1 ... 12 12 12]
6,1e-06,0.8819444444444444,0.9377117023073309,0.5791399478912354,[ 1  1  1 ... 12 12 12]
7,1e-06,0.8819444444444444,0.9377117023073309,0.6607627868652344,[ 1  1  1 ... 13 13 13]
8,1e-06,0.8819444444444444,0.9376920389990461,0.8061110973358154,[ 1  1  1 ... 12 12 12]
9,1e-06,0.8819444444444444,0.9376920389990462,0.9700870513916016,[ 1  1  1 ... 10 10 10]
10,1e-06,0.8819444444444444,0.9376920389990462,1.0482428073883057,[ 1  1  1 ... 10 10 10]
11,1e-06,0.8819444444444444,0.9377117023073309,0.3561520576477051,[ 1  1  1 ... 12 12 12]
12,1e-06,0.8854166666666666,0.9510256338604521,0.3272206783294678,[ 1  1  1 ... 11 11 11]
13,1e-06,0.8819444444444444,0.9377117023073309,0.3231191635131836,[ 1  1  1 ... 12 12 12]
14,1e-06,0.8819444444444444,0.9377117023073309,0.34935641288757324,[ 1  1  1 ... 13 13 13]
15,1e-06,0.8819444444444444,0.9377117023073309,0.752626895904541,[1 1 1 ... 0 0 0]
16,1e-06,0.8819444444444444,0.9377117023073309,0.8444750308990479,[ 1  1  1 ... 17 17 17]
17,1e-06,0.8819444444444444,0.9377117023073309,0.3272082805633545,[ 1  1  1 ... 12 12 12]
18,1e-06,0.8819444444444444,0.9376920389990462,0.5355536937713623,[ 1  1  1 ... 10 10 10]
19,1e-06,0.8861111111111111,0.9520450493036947,0.6369020938873291,[ 1  1  1 ... 13 13 13]
0,0.0001,0.8819444444444444,0.9377117023073309,0.539482593536377,[1 1 1 ... 0 0 0]
1,0.0001,0.8819444444444444,0.9377117023073309,0.6270809173583984,[1 1 1 ... 0 0 0]
2,0.0001,0.8819444444444444,0.9376920389990461,0.456179141998291,[ 1  1  1 ... 10 10 10]
3,0.0001,0.8854166666666666,0.9461332256714716,0.8443386554718018,[ 1  1  1 ... 13 13 13]
4,0.0001,0.8819444444444444,0.9377117023073309,0.3208463191986084,[ 0  0  0 ... 12 12 12]
5,0.0001,0.8819444444444444,0.9376920389990461,0.4311704635620117,[ 1  1  1 ... 10 10 10]
6,0.0001,0.8819444444444444,0.9376920389990462,0.42221570014953613,[ 1  1  1 ... 15 15 15]
7,0.0001,0.8819444444444444,0.9376920389990462,0.4447212219238281,[ 1  1  1 ... 11 11 11]
8,0.0001,0.8854166666666666,0.9510256338604521,0.35149097442626953,[ 1  1  1 ... 14 14 14]
9,0.0001,0.8819444444444444,0.9376920389990461,0.543830156326294,[ 1  1  1 ... 10 10 10]
10,0.0001,0.8854166666666666,0.9461332256714716,0.22814083099365234,[ 1  1  1 ... 13 13 13]
11,0.0001,0.8819444444444444,0.9376920389990461,0.4437260627746582,[ 1  1  1 ... 11 11 11]
12,0.0001,0.8819444444444444,0.9377117023073309,0.3301723003387451,[ 0  0  0 ... 12 12 12]
13,0.0001,0.8854166666666666,0.9510256338604521,0.3484048843383789,[ 1  1  1 ... 13 13 13]
14,0.0001,0.8819444444444444,0.9377117023073309,0.3213155269622803,[ 1  1  1 ... 12 12 12]
15,0.0001,0.8819444444444444,0.9377117023073309,0.34876251220703125,[ 1  1  1 ... 10 10 10]
16,0.0001,0.8819444444444444,0.9377117023073309,0.32932043075561523,[ 1  1  1 ... 13 13 13]
17,0.0001,0.8819444444444444,0.9377117023073309,0.4341413974761963,[1 1 1 ... 8 8 8]
18,0.0001,0.8819444444444444,0.9377117023073309,1.2669367790222168,[ 1  1  1 ... 10 10 10]
19,0.0001,0.8819444444444444,0.9376920389990462,1.0820972919464111,[ 1  1  1 ... 10 10 10]
0,0.01,0.8868055555555555,0.9533910089820841,0.3474416732788086,[ 1  1  1 ... 11 11 11]
1,0.01,0.8819444444444444,0.937380419940017,0.3262522220611572,[ 1  1  1 ... 14 14 14]
2,0.01,0.8819444444444444,0.9376920389990462,0.3184952735900879,[ 1  1  1 ... 13 13 13]
3,0.01,0.8819444444444444,0.937380419940017,0.32092809677124023,[ 1  1  1 ... 13 13 13]
4,0.01,0.8868055555555555,0.9533910089820841,0.4252173900604248,[ 1  1  1 ... 11 11 11]
5,0.01,0.8819444444444444,0.937380419940017,0.32402825355529785,[ 1  1  1 ... 14 14 14]
6,0.01,0.8819444444444444,0.937380419940017,0.33703160285949707,[ 1  1  1 ... 13 13 13]
7,0.01,0.8819444444444444,0.937380419940017,0.3245108127593994,[ 1  1  1 ... 13 13 13]
8,0.01,0.8819444444444444,0.937380419940017,0.3521265983581543,[ 1  1  1 ... 13 13 13]
9,0.01,0.8819444444444444,0.9376920389990461,0.8157312870025635,[ 1  1  1 ... 14 14 14]
10,0.01,0.8868055555555555,0.9533910089820841,1.3979318141937256,[1 1 1 ... 0 0 0]
11,0.01,0.8819444444444444,0.937380419940017,0.7392134666442871,[ 1  1  1 ... 13 13 13]
12,0.01,0.8868055555555555,0.9533910089820841,1.064406156539917,[ 1  1  1 ... 13 13 13]
13,0.01,0.8819444444444444,0.937380419940017,0.3459594249725342,[ 1  1  1 ... 13 13 13]
14,0.01,0.8819444444444444,0.937380419940017,0.3268465995788574,[ 1  1  1 ... 12 12 12]
15,0.01,0.8868055555555555,0.9533910089820841,0.3420102596282959,[ 1  1  1 ... 12 12 12]
16,0.01,0.8819444444444444,0.937380419940017,0.33236122131347656,[ 1  1  1 ... 13 13 13]
17,0.01,0.8819444444444444,0.9376920389990461,0.7431011199951172,[ 1  1  1 ... 12 12 12]
18,0.01,0.8819444444444444,0.9376920389990461,0.8430027961730957,[ 1  1  1 ... 12 12 12]
19,0.01,0.8819444444444444,0.937380419940017,0.3230016231536865,[ 1  1  1 ... 13 13 13]
0,1.0,0.8381944444444445,0.9476798017006283,0.886929988861084,[ 0  0  0 ... 10 10 10]
1,1.0,0.8381944444444445,0.9476798017006283,0.5378592014312744,[ 0  0  0 ... 10 10 10]
2,1.0,0.8381944444444445,0.9476798017006283,0.5510303974151611,[ 1  1  1 ... 10 10 10]
3,1.0,0.8381944444444445,0.9476798017006283,0.5145950317382812,[ 1  1  1 ... 10 10 10]
4,1.0,0.8381944444444445,0.9465855863770557,1.0365374088287354,[ 1  1  1 ... 12 12 12]
5,1.0,0.8381944444444445,0.9476798017006283,0.46865010261535645,[ 1  1  1 ... 11 11 11]
6,1.0,0.8381944444444445,0.9476798017006283,0.5182180404663086,[ 1  1  1 ... 10 10 10]
7,1.0,0.8388888888888889,0.9479821838806096,0.5435736179351807,[ 1  1  1 ... 10 10 10]
