trial,acc,nmi,time,pred
0,0.9577464788732394,0.938747460876405,0.014075756072998047,"[7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 9 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 3 3 8 8 8 8 8 8 8 8 8 8 8 8 8 8
 8 4 4 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 4 4 4 4 4 4 4 4 6 6 4 4 4 4 4 4 4 4 4 4 4 4]"
1,0.9530516431924883,0.9304567125048459,0.01336669921875,"[8 8 8 8 8 8 8 8 8 7 8 8 8 8 8 8 8 8 8 8 8 8 8 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 7 7 7 7 7 7 7
 7 7 7 7 7 7 7 7 7 7 7 7 7 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9
 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 6 6 6 2 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 1 1 1 1 1 1 1 1 5 5 1 1 1 1 1 1 1 1 1 1 1 1]"
2,0.8450704225352113,0.8787565486276021,0.024255037307739258,"[9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 8 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 9 6 6 9 9 9 9 9 0 9 9 9 9 9 9 9 9 9 9 9 9 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 1 1 8 8 8 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 1 1 1 1 1 1 1 1 8 8 1 1 1 1 1 1 1 1 1 1 1 1]"
3,0.8544600938967136,0.8884566307025802,0.011981010437011719,"[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 8 8 8 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 9 9 9 9 9 9 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
 7 7 7 7 7 7 5 5 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9]"
4,0.7276995305164319,0.8031495481326022,0.012997627258300781,"[0 5 5 5 5 5 4 5 4 4 4 5 5 0 5 5 5 5 5 5 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 8 8 8 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 7 7 7
 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 2 2 5 5 4 5 5 5 4 5 5 4 4 5 4 4
 4 1 1 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 1 1 1 1 1 1 1 1 6 6 1 1 1 1 1 1 1 1 1 1 1 1]"
5,0.8967136150234741,0.9128896947173114,0.015306711196899414,"[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7
 7 7 7 7 7 7 7 7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 4 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 8 8 8 8 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 3 3 3 3 3 3 3 3 4 4 3 3 3 3 3 3 3 3 3 3 3 3]"
6,0.9624413145539906,0.9467956013323904,0.01404261589050293,"[9 9 9 9 9 9 9 9 9 4 9 9 9 9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 7 7
 7 7 7 7 7 7 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 8 8
 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4
 0 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 3 3 3 3 3 3 3 3 5 5 3 3 3 3 3 3 3 3 3 3 3 3]"
7,0.7089201877934272,0.820204678584624,0.01646256446838379,"[2 2 2 2 2 2 1 2 2 1 1 2 2 2 2 2 2 2 2 2 1 1 1 7 7 7 7 7 7 7 7 7 7 7 7 7 7
 7 7 7 7 7 7 7 7 9 9 9 6 6 6 6 6 9 9 9 9 9 9 9 9 9 9 9 6 6 6 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 2 2 3 3 2 2 1 2 2 2 2 2 2 2 2 2 1 1
 2 0 0 0 8 8 8 0 0 0 8 8 8 8 8 8 8 8 8 8 8 8 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 9 9 9 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5]"
8,0.8075117370892019,0.8560202196444558,0.014389514923095703,"[8 8 8 8 8 8 8 8 8 3 8 8 8 8 8 8 8 8 8 8 8 8 8 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 9 9 9 0 0 0 0 0 9 9 9 0 9 9 9 9 9 9 9 0 0 0 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 5 5 8 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 4 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8
 8 7 7 7 7 7 7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 7 7 7 7 7 7 7 7 2 2 7 7 7 7 7 7 7 7 7 7 7 7]"
9,0.9436619718309859,0.9269663379730069,0.015684843063354492,"[2 2 2 2 2 2 2 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 9 9 9 9 9 9 9 9 9 9 9 9 9 9
 9 9 9 9 9 9 9 9 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 8 8 8 8 8 8 8 8 4 8 8 8 8 8 8 8 8 8 8 8 8 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 7 7 7 7 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 7 7 7 7 7 7 7 7 0 0 7 7 7 7 7 7 7 7 7 7 7 7]"
