trial,lambda,acc,nmi,time,pred
0,1e-08,0.6693825042881647,0.735051668669847,4.107713937759399,[1 1 0 ... 4 2 8]
1,1e-08,0.7042595769010863,0.7467383636175767,3.9574100971221924,[0 0 4 ... 6 7 9]
2,1e-08,0.6686678101772442,0.7340544262034496,2.399282455444336,[6 6 3 ... 4 0 9]
3,1e-08,0.6693825042881647,0.735051668669847,3.8738760948181152,[2 2 7 ... 0 3 5]
4,1e-08,0.6686678101772442,0.7340544262034495,2.562349796295166,[0 0 1 ... 5 4 6]
5,1e-08,0.7041166380789022,0.7464686108964833,3.7766993045806885,[1 1 6 ... 4 7 2]
6,1e-08,0.6686678101772442,0.7340544262034496,2.527805805206299,[5 5 6 ... 3 0 7]
7,1e-08,0.7042595769010863,0.7467383636175766,4.299899339675903,[0 0 2 ... 1 4 8]
8,1e-08,0.6693825042881647,0.735051668669847,2.723525047302246,[1 1 7 ... 5 8 3]
9,1e-08,0.7041166380789022,0.7464686108964833,3.174535036087036,[2 2 3 ... 6 0 8]
10,1e-08,0.6693825042881647,0.735051668669847,4.549526929855347,[4 4 0 ... 3 7 2]
11,1e-08,0.6688107489994283,0.7343260696940659,3.9255518913269043,[1 1 3 ... 7 9 4]
12,1e-08,0.7042595769010863,0.7467383636175768,4.563296556472778,[8 8 1 ... 9 5 7]
13,1e-08,0.6693825042881647,0.735051668669847,5.516642093658447,[7 7 9 ... 1 2 3]
14,1e-08,0.6688107489994283,0.7343260696940659,2.8140809535980225,[5 5 3 ... 1 4 6]
15,1e-08,0.6688107489994283,0.7343260696940659,2.892317771911621,[8 8 4 ... 3 0 7]
16,1e-08,0.7042595769010863,0.7467383636175768,2.76010799407959,[0 0 5 ... 2 7 8]
17,1e-08,0.6686678101772442,0.7340544262034496,2.9709057807922363,[1 1 0 ... 4 6 7]
18,1e-08,0.6688107489994283,0.7343260696940659,1.9366989135742188,[1 1 2 ... 3 0 5]
19,1e-08,0.6688107489994283,0.7343260696940659,2.856126070022583,[3 3 2 ... 0 5 7]
0,1e-06,0.6686678101772442,0.7340544262034496,2.3928587436676025,[6 6 4 ... 3 9 5]
1,1e-06,0.6688107489994283,0.7343260696940659,2.5001542568206787,[9 9 3 ... 2 5 7]
2,1e-06,0.6688107489994283,0.7343260696940659,1.7111895084381104,[8 8 5 ... 2 0 7]
3,1e-06,0.6686678101772442,0.7340544262034496,3.2330918312072754,[6 6 4 ... 7 1 3]
4,1e-06,0.6686678101772442,0.7340544262034496,2.6773154735565186,[7 7 8 ... 4 0 9]
