trial,lambda,acc,nmi,time,pred
0,1e-08,0.6416,0.7206531495775154,1.0256688594818115,[0 6 8 ... 9 9 9]
1,1e-08,0.6416,0.7208961166401952,1.029496192932129,[9 1 5 ... 7 7 7]
2,1e-08,0.6412,0.720813053922059,1.4823100566864014,[8 5 3 ... 1 1 1]
3,1e-08,0.6416,0.7208694875482238,0.8645236492156982,[8 4 0 ... 6 6 6]
4,1e-08,0.6416,0.7206531495775154,1.11423921585083,[0 6 8 ... 2 2 2]
5,1e-08,0.6416,0.7206531495775156,1.1536757946014404,[3 0 7 ... 8 8 8]
6,1e-08,0.6416,0.7206531495775155,1.8150546550750732,[1 5 8 ... 4 4 4]
7,1e-08,0.6416,0.7206531495775155,1.7973697185516357,[7 6 5 ... 9 9 9]
8,1e-08,0.6416,0.7206531495775155,1.0515012741088867,[8 2 5 ... 0 0 0]
9,1e-08,0.6416,0.7208694875482237,1.0231997966766357,[6 1 8 ... 0 0 0]
10,1e-08,0.6412,0.720813053922059,1.2972426414489746,[7 5 2 ... 0 0 0]
11,1e-08,0.6416,0.7208961166401952,1.069370985031128,[4 6 7 ... 8 8 8]
12,1e-08,0.6416,0.7206531495775155,1.0320792198181152,[7 0 2 ... 8 8 8]
13,1e-08,0.6412,0.7208396773965773,1.5339722633361816,[8 0 4 ... 3 3 3]
14,1e-08,0.6412,0.720813053922059,1.341966152191162,[7 5 2 ... 1 1 1]
15,1e-08,0.6416,0.7206531495775155,1.1403965950012207,[8 4 5 ... 7 7 7]
16,1e-08,0.6416,0.7206531495775155,4.013881683349609,[7 5 6 ... 4 4 4]
17,1e-08,0.6416,0.7206531495775154,2.882204532623291,[6 1 9 ... 0 0 0]
18,1e-08,0.6412,0.7208130539220591,3.6810238361358643,[7 2 3 ... 4 4 4]
19,1e-08,0.6412,0.720813053922059,3.4269750118255615,[4 6 1 ... 0 0 0]
0,1e-06,0.6416,0.7208694875482237,1.1118488311767578,[4 0 7 ... 9 9 9]
1,1e-06,0.6412,0.720813053922059,0.9952421188354492,[1 7 6 ... 0 0 0]
2,1e-06,0.6416,0.7208961166401952,0.9766888618469238,[8 5 1 ... 2 2 2]
3,1e-06,0.6412,0.720813053922059,1.7272708415985107,[6 5 7 ... 8 8 8]
4,1e-06,0.6416,0.7208694875482238,1.9605703353881836,[6 7 9 ... 1 1 1]
5,1e-06,0.6416,0.7206531495775155,1.4807085990905762,[5 2 7 ... 8 8 8]
6,1e-06,0.6412,0.720813053922059,1.0672011375427246,[3 8 4 ... 1 1 1]
7,1e-06,0.6412,0.7208396773965773,1.169696569442749,[8 5 7 ... 9 9 9]
8,1e-06,0.6416,0.7206531495775156,1.0771985054016113,[3 7 8 ... 1 1 1]
9,1e-06,0.6416,0.7206531495775155,1.1218483448028564,[9 8 0 ... 2 2 2]
10,1e-06,0.6416,0.7208961166401952,1.034477710723877,[6 1 9 ... 8 8 8]
11,1e-06,0.6416,0.7206531495775155,1.028892993927002,[4 0 8 ... 3 3 3]
12,1e-06,0.6416,0.7206531495775153,0.9728715419769287,[9 8 4 ... 6 6 6]
13,1e-06,0.6416,0.7208961166401952,0.9599864482879639,[6 0 9 ... 8 8 8]
14,1e-06,0.6416,0.7206531495775155,1.6579670906066895,[0 7 8 ... 3 3 3]
15,1e-06,0.6416,0.7208961166401953,1.842170000076294,[2 7 8 ... 1 1 1]
