trial,lambda,acc,nmi,time,pred
0,1e-08,0.5166666666666667,0.7035234813342995,0.431485652923584,"[16 19 25 16 29 18 29 16 29 29 29 23 16 29 16 23 16 16 16 16 27 21 27 26
 27 23 27 26 20 28 23 23 26 27 28 23 29 27 23 27 29 21  0 21  0 29  0 25
 21 25 28 25  4 16 16 16 25 28 21 21 28 11 11 11 11 11 11 11 11 11 11 11
 27 11 11 11 11 11 11 11 26 27 26 23 28 17 23 23 23 23 23 29 28 17 18 26
 21 23 27 23 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
  2  2 13 13  2 13  2 13  2 13  2 13  2 13  2 13  2 13 13  2  7 12 12  7
 12 12 12  7 12  7 12  7 12  7 12  7 12  7 12  7 23 25 23 23 27 23 27 26
 26 25 25 27 23 16 26 23 27 25 21 27 28 26 26 29 21 16 21 25 27 26 28 26
 21 16  4 28  0 21 21  2 21 21 21 27 21 21 21 21 21 21 21 21 21 21 21 21
 21 21 21 21  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
 17  5 17  5 17  5 17 26 17  5 17  5  5 17 26 23  5 17  5 17 16 16 16 16
 25 16 16 16 16 16 16 23 16 16 16 16 19 16 16 16 29 23 26 29 26 29 26 26
 26 26 22 26 26 21 26 21 28 27 23 26 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 14 14 14 14 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21
 21 21 21 21  2  2 17 28  2 17  2 28 28 28 28 17 17  2 17  2 25 25 25 26
 20 20 17 20 20 20 20 20 20 20 20 20 20 20 20 20 20 25 20 20 27 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 22 22 22 22 22 22 22 22
  4 22 22 22 22 22 18 18 18 22 22 22 18 29 29 18 27 28 21 25 27 23 17 18
 18 27 21 18 18 21 21 29  6  4  4  4  4  4  4  6  6  6  6  4  6  6  6  6
  6  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  4 16  4 16 16 16 10 16 16 16 16  4 16 16 16 16 29  4  4  4  9 16 16 10
 16 25 16 16 16 16 16  9 16 16 10 16 16 19 16 16  4  4 21 21  4  4  4  4
 21  4  4  4  4  4  4  4  4  4  4  4 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20 21  4  4  0  0 20 18 21  0  0 20 20 18  0  0  0
 18  0 21  4  1  3  3  3  3  1  3  3  3  3  3 24  1 24 24 24 24  1  1  3]"
1,1e-08,0.49666666666666665,0.683123098172726,0.42325568199157715,"[17 23 23 17 23 21 23 17 21 21 23 19 17 17 17 21 21 17 17 17  0 16  0 19
  0 26  0 19 20 19 21 26 19  0 19  8 19  0 19  0  0 16  8 16  8  0  5  0
 16  5 17 27 26  5 17 17  0 19 16 16 16 12 12 12 12 12 12 12 12 12 12 12
  2 12 12 12 12 12 12 12  0  2  2 21 19 14 21 21 21 21 21 21 19 19  5  2
 16 21  2 21 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 20 20 11 11 20 11 20 11 20 11 20 11 20 11 20 11 20 11 11 20 29  7  7 29
  7  7  7 29  7 29  7 29  7 29  7 29  7 29  7 29 21  5 21 21  2 21  2  2
 19  5  8  2 21 26 19 21  2  5 16  2  0  2 23 21 16 17 16 27  5 16  0 20
 16  0 26 19  8 16 16 20 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28
 14  4 14  4 14  4 14 26 14  4 14  4  4 14  2 21  4 14  4 14 17 17 17 17
  0 17 26 17 17 18 26 21 17 26 17 17 18  5 17 17 25 21  2 25 19  0 19 19
 19  2 25  2 19 16 19 16 19  0 21  2 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 18  0 23 19 18 23 18 19 19 19 19 23 23 18 23 18 23  5  5 17
 20 20 23 20 20 20 20 20 20 20 20 20 20 20 20 20 20  5 20 20  2 18 18 18
 18 18 18 18 18 18 18 18 18 26 18 18 18 18 18 18 25 25 25 25 25 25 25 25
 27 25 25 25 25 25  8 22 27 25 25 25 22 26  0 22  2  0 16 21 16 26 14 22
 22  2 16 22 22 16 16  0 13 27 27 27 27 27 27 13 13 13 13 27 13 13 13 13
 13 27 27 27  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
 27 17 27 27 17 17  6 17 17 17 17 27 17 17 17 17 23 27 27 27  9 17 17  6
 17  5 17 17 17 17 17  9 17 17  6 17  5 18 17 17 27 27 16 16 27 27 27 27
 16 27 27 27 27 27 27 27 27 27 27 27 20 20 26 20 20 20 20 20 20 20 20  0
 20  0  0 20  0 20 20 26 16 27 27  8  8 20  8 16  8  8 20 20  8  8  8  8
  8  5 16 27  1  3  3  3  3  1  3  3  3  3  3 24  1 24 24 24 24  1  1  3]"
2,1e-08,0.5233333333333333,0.6871167187715069,0.4580240249633789,"[16  0 23 16  2 20  8 16  8  8  2  0 16  2 14  8  8 16 16 16 23 14 23  6
 21  6 21  6 26 16  8  6  6 21 16  4  6 21  6 21 23 14 15 14  4 21 15 23
 14  4 16  4 19 16 16 16 23 16 14 14 14 13 13 13 13 13 13 13 13 13 13 13
 20 13 13 13 13 13 13 13  6 20  6  8 16 20  8  8  8  8  8  8 16 16 25  6
 14  8 20  8 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18
 17 17 28 28 17 28 17 28 17 28 17 28 17 28 17 28 17 28 28 17  7 29 29  7
 29 29 29  7 29  7 29  7 29  7 29  7 29  7 29  7  8  4  8  8 20  8 20  6
  6  4 23 20  8 21  2  8 20  4 14 20 23 17 23  8 14  2 14 14 14  2 19 17
 14 23 21 20 15 14 14 17 14 14 14 20 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
 20  5 20  5 20  5 20  6 21  5 20  5  5 20  6  8  5 20  5 20 16 16 16 16
 23 16 16 16 16 16 16  8 16 16 16 16 16 16 16 16 26  8  6 26  6 26  6  6
  6  6 26  6  6 14  6 14 16 23  8  6 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 25 25  2 23 25  2 25 23 16 16 23  2  2 25  2 25  2  4 23  2
 17 17  2 17 17 17 17 17 17 17 17 17 17 17 17 17 17  4 17 17 21  0  0  0
  0  0  0  0  0  0  0  0  0 21  0  0  0  0  0  0 26 26 26 26 26 26 26 26
 19 26 26 26 26 26 15 22 19 26 26 26 22 21 21 22 20 21 14 23 21  4 20 22
 22 20 14 22 22 14  4 23 12  4 19 19  4 19 19 12 12 12 12 19 12 12 12 12
 12 19 19 19 15 15 15  2 15 15 15 15 15 15 15 15  2 15 15 15 15 15 15 15
 19 16 19 19 26 16 11  2 16 16 16 19 16 16 16 16  0 19 19 19  9 16 16 11
 16  4 16 16 16 16 16  9 16 16 11 16 16  0 16 19 19 19 14 14 19 19 19 19
 14 19 19 19 19 19 19 19 19 19 19 19 22 22 22 22 22 22 22 22 22 22 22 23
 22 23 23 23 23 22 22 22 14  2  2 15 15 17 15 14 15 15 17 17 15 15 15 15
 15  4 14  2  1  3  3  3  3  1  3  3  3  3  3 24  1 24 24 24 24  1  1  3]"
3,1e-08,0.53,0.6976556366577309,0.8712167739868164,"[ 1  3  3  1  3 27  3  1 23 23  3 16  1  3  1 23 23  1  1  1 14 18 14 14
 14  1 14 14 22  1 23 23 14 14  1 27 23 14 14 14 14 18 19 18 27 13  6  0
 18  0 26  0 21  1  1  1 26 26 18 18 18 10 10 10 10 10 10 10 10 10 10 10
 19 10 10 10 10 10 10 10 14 14 19 23  1 24 23 23 23 23 23 23  1  1  6 14
 18 23 14 23 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 19 19  7  7 19  7 19  7 19  7 19  7 19  7 19  7 19  7  7 19 29  8  8 29
  8  8  8 29  8 29  8 29  8 29  8 29  8 29  8 29 23  0 23 23 14 23 14 21
  3  0  0 14 23  1  3 23 14  0 18 14 26 19  3 23 18  1 18  3  0 26 26  3
 18 13 21 26 27 18 18 19 18 18 18 14 18 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28
 24  5 24  5 24  5 24 19 24  5 24  5  5 24 19 23  5 24  5 24  1  1  1  1
  0  1  1  1  1  1  1 23  1  1  1  1  1  1  1  1 22 23 14 22 26 21 27 14
 27 14 20 14 14 18 26 18  1 14 23 19  9  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 19 19  3 26 19  3 19 26 26 26 26  3  3 19  3 19  3  0  0 27
 22 22  3 22 22 22 22 22 22 22 22 22 22 22 22 22 22  0 22 22 14 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 20
 27 20 20 20 20 20 27 27 27 20 20 20  6 23 21  6 14 23 18 23 18  0 24  6
  6 14 18  6  6 18 18 22 11 21 21 21 21 21 21 11 11 11 11 21 11 11 11 11
 11 21 21 21 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
 21  1  6  6  1  1  1  3  1  1  1 21  1  1  1  1  3 21 12 21 15  1  1  1
  1  0  1  1  1  1  1 15  1  1  1  1  1 16  1 12 21 21 18 18 21 21 21 21
 18 21 21 21 21 21 21 21 21 21 21 21 22 22 27 22 22 22 22 22 22 22 22 22
 22 22 22 22 22 22 22 22 27 21 21 27 27 22 27 27 27 27 22 22 27 27 27 27
 27  0 18  3  2  4  4  4  4  2  4  4  4  4  4 25  2 25 25 25 25  2  2  4]"
4,1e-08,0.54,0.697767108194985,0.905221700668335,"[18 26  5 18  2 17  2 18  2  2  2 14 18  5 15  2  2 18 18 18 17 15  0 23
 27 18 27 23  0 18  2 23 23 27 18 19 23 27 23 27 27 15  0 15 19 27 19 28
 15 21 24 21 21 18 18 19 24 24 15 15 24 10 10 10 10 10 10 10 10 10 10 10
  0 10 10 10 10 10 10 10 23 17 23  2 18  5  2  2  2  2  2  2 18 18 29 23
 15  2 17  2 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
  0  0 11 11  0 11  0 11  0 11  0 11  0 11  0 11  0 11 11  0  6  7  7  6
  7  7  7  6  7  6  7  6  7  6  7  6  7  6  7  6  2  5  2  2 17  2 17 23
 23  5 28 17  2 27 24  2 17  5 15 17 24  0 24  2 15 24 15 21 29 24 24  0
 28 27 27 24 19 15 15  0 15 15 15 22 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  5  4  5  4  5  4  5  0 27  4  5  4  4  5  0  2  4  5  4  5 18 18 18 18
 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 22  2 23 22 23 22 23 23
 23 23 22 23 23 15 23 15 18 17  2  0 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 28 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 28 28 28 28 29 29  5 24 29  5 29 24 24 24 24  5  5 29  5 29  5 28 17  5
 20 20  5 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 27 26 26 26
 26 26 26 26 26 26 26 26 26 27 26 26 26 26 26 26 22 22 22 22 22 22 22 22
 21 22 22 22 22 22 19  2 21 22 22 22  2 27 27  2 17 27 15 28 15 15  5  2
  2 17 15  2  2 15 28 27 12 21 21 21 21 21 21 12 12 12 12 21 12 12 12 12
 12 21 21 21 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
 21 18 21 21 22 24 13  2 24 24 18 21 18 24 18 24 26 21 21 21  9 18 18 13
 18 18 18 18 18 18 18  9 18 18 13 18 18 26 18 18 21 21 15 15 21 21 21 21
 15 21 21 21 21 21 21 21 21 21 21 21 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 24 17 17 17 17 15 21 21 19 19  0 19 15 19 19  0  0 19 19 19 19
 19 19 15 21  1  3  3  3  3  1  3  3  3  3  3 25  1 25 25 25 25  1  1  3]"
5,1e-08,0.53,0.6961413365503796,0.7979156970977783,"[ 0  2  2  0  2  0  2  0  2  2  2 28  0  2 20  0  0  0  0  0 21 20 12  4
 21  0 21  4 25  5  0 27  4 21  5 28 25 21  4 21 21 20 12 20 28 21 18 26
 20 15  0 15 27  0 26  5 15  5 20 20  5 13 13 13 13 13 13 13 13 13 13 13
 12 13 13 13 13 13 13 13  4  4 12  0  5  7  0 28  0 28  0 21  5  5 20  4
 20  0  4  0 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 12 12 11 11 12 11 12 11 12 11 12 11 12 11 12 11 12 11 11 12 29  8  8 29
  8  8  8 29  8 29  8 29  8 29  8 29  8 29  8 29  0 19 18  0  4  0  4 27
  2 19 21  4  0 27 12  0  4 19 20  4 12 12  2  2 20  5 20 15  5 12 21 12
 20 26 27 12 28 20 20 12 20 20 20 21 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  7  6  7  6  7  6  7 27 21  6  7  6  6  7 27 21  6  7  6  7  0  0  0  0
  0  0  0  0  0  0  0  0  0 27  0  0  0  0  0  0 25 21  4 25  4 25  4  4
  4  4  0  4  4 20  4 20  0 21 28 12 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 23 23  2  5 23  2 23  5  5  5  2  2  2 23  2 23  2 21 19  2
 19 19  2 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 21 22 22 22
 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22  7  7  7  7  7  7  7  7
 15  7  7  7  7  7 18 18 18  7  7  7 18 21 21 18  4  5 20 21 21 27  7 18
 18  4 20 18 18 20 28 25 10 15 15 15 15 15 15 10 10 10 10 15 10 10 10 10
 10 15 15 15 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
 18 26  5  5  0  5  0  2  5  5 26 26 26  5 26  5  2  5 23 18 14  0  0  0
  0 19  0  0  0  0  0 14  0  0  0  0  0 22  0 23 15 15 20 20 15 15 15 15
 20 15 15 15 15 15 15 15 15 15 15 15 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 20 15 15 18 18 12 18 20 18 18 12 12 18 18 18 18
 18 19 20 15  1  3  3  3  3  1  3  3  3  3  3 24  1 24 24 24 24  1  1  3]"
6,1e-08,0.5166666666666667,0.6788165266952135,1.3214902877807617,"[16  2 26 19 19 18 19 19 19 19 19 17 16 19 22 19 19 19 19 16 26 22 26 23
 26 19 26 23  2  4 19 25 23 26  4  8 19 26 23 26 26  8  7 22  5 26  5  8
 22  0 16  0 25 16 16  5  0 23 22  8 22 14 14 14 14 14 14 14 14 14 14 14
  7 14 14 14 14 14 14 14 23 18 23 19  4 15 19 19 19 19 19 19  4  4 22 23
 22 19 18 19 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
  7  7 11 11  7 11  7 11  7 11  7 11  7 11  7 11  7 11 11  7 28 29 29 28
 29 29 29 28 29 28 29 28 29 28 29 28 29 28 29 28 19 15 19 19 18 19 18 23
 23 15  8 18 19 25  7 19 18 15 22 18  7  7  2  8 22  0 22  0 18  7 26  7
  8 26 25  7  5 22 22  7 22 22 22 18 22 22 22 22 22 22 22 22 22 22 22 22
 22 22 22 22 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
 15  6 15  6 15  6 15 25 15  6 15  6  6 15 25 19  6 15  6 15  4  4 19 19
 26  4 25  4  4  4 19 19 19  4 19 19  4 19 19 16  2 19 23  2 23 26 23 23
 23 23 16 23 23 22 23 22  4 26 19  7 13 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13  8 22 22 22 22 22 22 22 22 22 22 22 22 22  8 22
  8  8  8  8 20 20 15  4 20 15 20  4  4  4  4 15 15 20 15 20  4  8 21  8
 21 21 15 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 25  4  4  4
  4  4  4  4  4  4  4  4  4 25  4  4  4  4  4  4 16 16 16 16 16 16 16 16
 18 16 16 16 16 16 18  2  2 16 16 16  2 25 26  2 18 26 22  8 22 25 15  2
  2 18 22  2  2 22  8 26  9  0  0  0  0  0  0  9  9  9  9  0  9  9  9  9
  9  0  0  0  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  0 16  0  0 16  0 16 19 16  4 16  0 16  4 16 16  2  0 12  0 10 19 16 16
 16  4 16 16 16 16 16 10 16 16 16 16  4  4 16 12  0  0 22 22  0  0  0  0
 22  0  0  0  0  0  0  0  0  0  0  0 18 18 18 18 18 18 18 18 18 18 18 26
 18 26 26 26 26 18 18 18 18  0  0 18 18  7 18 18 18 18  7  7 18  5 18 18
 18 18 22  0  1  3  3  3  3  1  3  3  3  3  3 24  1 24 24 24 24  1  1  3]"
7,1e-08,0.495,0.6805939446517896,1.4144189357757568,"[18  8  8 22 22 22 22 22 22 22 22 25  8 22  9 22 22 22 22  9  5  4 12 19
  5 25  5 19 23  9 22 22 19  5  9 20 22  5 19  5  5  4 23  4 20  5 20  5
  4  8  9  8 25 16  9  9  6  9  4  4  4 13 13 13 13 13 13 13 13 13 13 13
 12 13 13 13 13 13 13 13 19 19 12 22  9  0 22 22 22 22 22 22  9  9 21 19
  4 22 19 22 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 12 12 11 11 12 11 12 11 12 11 12 11 12 11 12 11 12 11 11 12 29 28 28 29
 28 28 28 29 28 29 28 29 28 29 28 29 28 29 28 29 22  8 22 22 19 22 19 25
  8  8 20 19 22  5 23 22 19  8  4 19 12 12  8 22  4  9  4  8  9 12 12  8
  4  5  5 23 20  4  4 12  4  4  4  0  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
  0 26  0 26  0 26  0 25  5 26  0 26 26  0 25 22 26  0 26  0 16 16  9  9
  2 16 16 16 16 16 16 22 22 25 22 22 16  9 16 16 23 22 19 23 19  6 19 19
 19 19 18 19 19  4 19  4  9 19 22 12 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4 12 12  8  9 12  8 12  9  9  9  8  8  8 12  8 12  8 20  2  8
 18 18  8 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18  5 16 16 16
 16 16 16 16 16 16 16 16 16  5 16 16 16 16 16 16 18 18 18 18 18 18 18 18
  6 18 18 18 18 18 20 21  6 18 18 18 21  5  5 21 19  5  4 22  5 25  0 21
 21 19  4 21 21  4  4  5  7  6  6  6  6  6  6  7  7  7  7  6  7  7  7  7
  7  6  6  6 20 20 20  8 20 20 20 20 20 20 23 20  8 20 20 20 20 20 20 20
  6 16  9  9 23  9 10  8  9  9  8  6 16  9  9  9  8  6 23  6 14 22 16 10
 16 16 16 16 22 16  9 14 16 16 10 16 16 16 22 23  6  6  4  4  6  6  6  6
  4  6  6  6  6  6  6  6  6  6  6  6  2  2 25  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2 25  4  8  8 20 20  2 20  4 20 20  2  2 20 20 20 20
 20 20  4  8  1  3  3  3  3  1  3  3  3  3  3 24  1 24 24 24 24  1  1  3]"
8,1e-08,0.5183333333333333,0.6856987304707122,0.79421067237854,"[ 1 26  0  1  7  5  7  1  7 20  7 26  1  0 23 20 20  1  1  1 22 23 10  0
 22  1 22  0 18  1 20  0  0 22  1 17  1 22  0 22  3 23 10 23 17  0 17  0
 23 21  5 21 21  1  0  1  3  5 23 23 10 11 11 11 11 11 11 11 11 11 11 11
 10 11 11 11 11 11 11 11  0 22 10 20  1 19 20 20 20 20 20 20  1  1 23  0
 23 20 22 20 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 10 10 29 29 10 29 10 29 10 29 10 29 10 29 10 29 10 29 29 10  8  6  6  8
  6  6  6  8  6  8  6  8  6  8  6  8  6  8  6  8 20 12 20 20 22 20 22  0
  5 12 20 22 20  1 10 20 22 12 23 22 10 10 10 20 23 21 23 21 23 10 10 10
 23  3 21 10 17 23 23 10 23 23 23 22 23 23 23 23 23 23 23 23 23 23 23 23
 23 23 23 23 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28
 19 27 19 27 19 27 19  1 19 27 19 27 27 19  1 20 27 19 27 19  1  1  1  1
  3  1  1  1  1  1  1 20  1  1  1  1  1  1  1  1 18 20  0 18  5 18  5  0
  0  0 18  0  5 23  0 23  1  3 20 10 13 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23
 23 23 23 23 24 10 19  3 24 19 24  3  3  3  3 19 19 24 19 24  3 20 12  5
 12 12 19 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  0 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 18 18 18 18 18 18 18 18
 21 18 18 18 18 18 17  7  5 18 18 18  7  7 21  7 22  3 23 20 23  0 19  7
  7 22 23  7  7 23 23  3  9 21 21 21 21 21 21  9  9  9  9 21  9  9  9  9
  9 21 21 21  0 17 17  0  0 17 17 17 17 17 17 17  0 17 17 17 17 17 17 17
 21  1 21 21  1  1  1  7  1  1  1 21  1  1  1  1 26 21 16 21 14  1  1  1
  1 12  1  1  1  1  1 14  1  1  1  1  1 24  1 16 21 21 23 23 21 21 21 21
 23 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22  3
 22  3  3  3  3 22 22 22 23 21 21 17 17 10 17 23 17 17 10 10 17 17 17 17
 17 17 23 21  2  4  4  4  4  2  4  4  4  4  4 25  2 25 25 25 25  2  2  4]"
9,1e-08,0.5366666666666666,0.708067926239363,0.7109947204589844,"[ 1 17 15  1 15  3 15  1 15 22 15 17  1 15 16 22 15  1  1  1 27 16 27  5
 27 10 27  5 24 10 22 22  5 27 10  3 22 27  5 27 27 16 24 16  3 20 20 20
 16 21 25 21 10  1  1 10 25 25 16 16 24 13 13 13 13 13 13 13 13 13 13 13
 27 13 13 13 13 13 13 13  5 27  5 22 10  3 22 22 22 22 22 22 10 10 18  5
 16 22 27 22  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 24 24  9  9 24  9 24  9 24  9 24  9 24  9 24  9 24  9  9 24 29 26 26 29
 26 26 26 29 26 29 26 29 26 29 26 29 26 29 26 29 22 19 22 22 27 22 27  5
 25 19 20 27 22 10 25 22 27 19 16 27 25  5 25 24 16  1 16 21 27 25 27 25
 16  1 21 25  3 16 27 24 16 16 16 27 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28
 15  6 15  6 15  6 15  5 15  6 15  6  6 15  5 22  6 15  6 15  1  1  1  1
  1  1  1  1  1  1  1  1  1 10  1  1  1  1  1  1 24 22  5 24  5 21  5  5
  5  5  7  5  5 24  5 16 22 27 22  5  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 27 27 15 25 27 15 27 25 25 25 25 15 15 27 15 27 25 20 19  3
 19 19 15 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 27 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17  7  7  7  7  7  7  7  7
  3  7  7  7  7  7  3 18  3  7  7  7 18 15 21 18 27 22 16 22 27 10 15 18
 18 27 16 18 18 16  3 16 12 21 21 21 21 21 21 12 12 12 12 21 12 12 12 12
 12 21 21 21 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
 21  1 10 21  1  1  1  1  1  1  1 21  1  1  1  1 17 10 11 21 14  1  1  1
  1 19  1  1  1  1  1 14  1  1  1  1  1 17  1 11 21 21 16 16 21 21 21 21
 16 21 21 21 21 21 21 21 21 21 21 21 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19  3 21 21  3  3 24  3  3  3  3 24 24  3  3  3  3
  3 20 16 21  2  4  4  4  4  2  4  4  4  4  4 23  2 23 23 23 23  2  2  4]"
