trial,acc,nmi,time,pred
0,0.5033333333333333,0.6953383284911395,0.02425360679626465,"[18 18 18 18 26 18 26 26 18 26 26 26 18 26 26 26 26 26 26 26 19  5 19  1
 19  1 19  1 11  3 19 24  1 19  3  5  1 19  1 19  8  8 11  8 20 11 15 11
  8 11 11 20 13 12 11 11  8 11 15  8 27 25 25 25 25 25 25 25 25 25 25 25
 25 25 25 25 25 25 25 25 13 25  3  5  3 27 19  5  5  5  5 19  3  8 14  3
 14 19 11  5  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
 10 10 11 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 11 10 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24  5  3  5  5 19  5 11 13
 14  1  5 11 19  9 20 19 11  3  5 11  8  3  3 27 12 27 27  8 27 20 19  3
 27 20 27  8 11 27 27 22  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 19 24 19 24 19 24 19  3  5 24 19 24 24 19  3  5 24 19 24 19  6  6  6  6
  6  6 24  6  6  6  6  6  6 24  6  6  6  6  6  6  2 27  3  2 13  2  0 13
 13  0 11 13 13  5 13 14  0  9 27  3 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 11 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 24 24 14  6 24  6 24  6  6  6 24  6  6 24  6 24  6 24  6 24
 22 22 22 22 22 22 10 10 22 22 22 22 22 22 14 22 22 22 22 22  3  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 16 16 16 16 16 16 16 16
  2 16 16 16 16 16  0 16  0 16 16 16  8 19  3  8  5  9  0 19 10 19 11  8
  8 19  1  8  8 14 19  8  0 21 21 21 21  0  7 13 13 20 13  7 13  0 28 13
 29  7  7  7 28 29 23 29 28 13 29 23 13 28  0 23 29 23 23 28 23 23 29 23
 23 20 12 23 20 23 12 20 20 14 20 23 20 28 20 28  0 12 12 23 10 12 10 12
 20 20 12 12 12 20 12 12 10 12 12 20 12 12 20 12 25 25  9  9 25 25 25 25
  9 25  9  9 25 25  9  9  9  9 25 25 17 17 17 10 17 11 17 17 17 17 17 17
 14 17 17 17 17 17 17 17  4  4  4  7  4  7  4  1  7  4  7  7  4  4  7  1
  4  7  4  7 28  7  0 13 13 28  0  0 13  7 13  7  0 28 13 15 13 13 28  7]"
1,0.575,0.7096225967462116,0.01851630210876465,"[ 7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 14 27 14 27
 14 27 14 27  1 23 12 27 27 14 23 27 27 14 27 14 16 16 12 16 15  2 16 12
 16 12 12 15 24 21 12 12 16 12 16 16  5  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  9 27  6  1 27 13  3 14 14 14 14 14 14 23  1 23  1
 27 14 12 14 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
  2  2 12 12  2 12  2 12  2 12  2 12  2 12  2 12  2 12 12  2 25 25 25 25
 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 14 23 27 14  3 14 12  1
 16  8 14 12 14 13 24 14 12 23 27 12  1  1 16 14 21  3 14 16  3  1 14 23
  5  3  3  1 12  5  3  1 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
 29 29 29 29 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25
  3  4 14  4  3  4  3 23 27  4  3  4  4 14 23 14  4  3  4  3 26  0 26 26
 26 26 26 26 26 26 26  0 26 25 26 26 26 26 26  0 13  5  1 13 24 13 24 24
 24 24 12 24 24 14 24  6 13  6  5  1 12 12 12 12 12 12 12 12 12 12 12 12
 12 12 12 12 12 12 12 12 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 25 25 29  0 25  0  0 29  0  0 25  0  0 25  0 25 29 25  0 25
 18 18 18 18 18 18  2  2 18 18 18 18 18 18 23 18 18 18 18 18 23  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 11 11 11 11 11 11 11 11
  1 11 11 11 11 11  3 11  3 11 11 11  1 14 23 16 14  6 24 14  2 14 12 16
 16 14  0  1 16  0 14 16 28  3  3 20  3  3  3 24 24 28 24  3 24 28 28 24
 24  3  3  3 28 19 21 19 28 24 19 21 24 28 28 21 24 20 21 28 20 21 24 21
  5 15 17 21 15 19 15 15 15  8 15 19 15 28 15 28 28 17 17 21  2 21  2 21
 15 28 17 21 21 15 21 17  2 21 17  1 21 21  1 15  9  6  6  6  9  6  6  6
  6  9  6  9  9  6  9  6  6  6  9  9 22 22 19  2 22 12 22 22 22 22 22 22
 27 22 22 22 22 22 22 22 20 20 20 28 20  8 20  8 16 20 28 28 20 20 28  8
 20 24 20 24 28 28  3 24 24 28 28 28 28 28 28 28 28 28 24 13 24  3  3 28]"
2,0.53,0.7020059010243199,0.024491548538208008,"[ 8  8  8  8  8  8  2  8  8  8  8  2  2  2  2  2  8  8  2  2 20 26 20 26
 20 26 20 26  5 27  6 26 26 20 27 26 26 20 26 20 13 13  5 13  1  5 13  5
 13  5  5 28 18 19  5  5 13  5 13 13 21 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 11 26 11 13 21 27  6  6 21 21 21 21  6 27  4  0 27
 26  6  5 21  4  4  4  4 13  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
 29 29  5  5 29  5 29  5 29  5 29  5 29  5 29  5 29  5  5 29 22 22 22 22
 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 21 27 21 21  6 21  5 29
 13  9 21  5 20 16 18 21  5 27 21  5  4  4 13 20 19  6 20  4  6  1 20 27
  1  6  6  4  5 20  6  1  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22
  6 22  6 22  6 22  6 27 21 22  6 22 22  6 27 21 22  6 22  6  7  7  7  7
  7  7  7  7  7  7  7  3  7 22  7  7  7  7  7  7 16 21 27 16 18 16 18 10
 18 18  5 25 18 21 18  0 27 11 21 27  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0 22 22  3  3 22  3 22  3  3  3 22  3  3 22  3 22  3 22  3 22
 14 14 14 14 14 14 29 29 14 14 14 14 14 14  0 14 14 14 14 14 27  9  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 25 25 25 25 25 25 25 10
 29 10 25 10 25 10  6 25  6 25 10 10  4  6 27  4 20 16 18 20 29 20  5  4
  4 20 26  4  4  0 20 13 23  1 24 24  1 12 12 18 17  1 18 12 18 18 23 18
 18 12 23  1 23 16 15 12 23 18 15 15 18 23 17 15 18 15 15 23 15 15 18 15
 15 28 19 15 28 15 28 28 28 24 28 15 28 12 28 23 28 19 19 15 29 19 29 19
  1  1 19 19 19  1 19 19 29 19 19  1 19 19  1 19 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 29 12  5 12 12 12 12 12 12
 26 12 12 12 12 12 12 12 15 24 15 24 24 24 15  9 13 15 12 24 15 15 24  9
 15 24 24 24  1 12 12 18  1 23 24 23  1 23 12 28  1 17 12 16 12 12 12 23]"
3,0.585,0.7246509779042184,0.023871898651123047,"[15 15 15 20 20 20 15 20 20 15 20 15 15 15 15 20 20 15 20 20  6 17 18 17
 18 27  6 17  1  0 18 17 27 18  0 17 17  6 27  6 14 14  1 14 21 21 14  1
 14  1  1 21 21  3  1  1 14  1 14 14  8 23 23 23 23 23 23 23 23 23 23 23
 23 23 23 23 23 23 23 23  8 23  9  8  9  8 18  6  8  6  8 18  0  9  0  9
  0 18  1  8 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 29 29  1  1 29  1 29  1 29  1 29  1 29  1 29  1 29  1  1 29 28 28 28 28
 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28  6  0 27  8 18  6  1  9
  0 27  8  1  6  7 24  6  1  0  8  1 14  9  0  8  5 26  8 14 18  9 18  9
  8 26  8 14  1  8  8  9 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
 18 17 18 17 18 17 18  0  6 17 18 17 17 18  0  6 17 18 17 18 17 28 17 17
 17 17 17 17 17 17 17 16 17 28 17 17 17 17 17 17 24  8  9 24 24 24 24 19
 24 24  1 19 24  6 19  4 24 10  8  9  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4 28 28 16 16 28 16 28 16 16 16 28 16 16 28 16 28 16 28 16 28
 13 13 13 13 13 13 29 29 13 13 13 13 13 13  0 13 13 13 13 13  0 27 27 27
 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 19 19 19 19 19 19 19 19
  9 19 19 19 19 19 24 19 18 19 19 19 14 18  0 14  6  3 24 18 29 18  1 14
 14  6  0 14 14  0 18 14 25 26 26 11 26 12 26 25 25 25 25 12 25 25 25 25
 24 26 26 26 12 22 22 24 12 24 22 22 24 12 24 22 24 22 22 12 22 22 24 22
 22 21  5 22 21 22  5 21 21 27 21 22 21 26 21 12 12  5  5 22 29  5 29  5
 21 21  5  5  5 21  5  5 29  5  5  9  5  5  9  5  3 23 10 10 23 10 23 23
 10 23 10 23 23  3 23 10 10 10 23 23  7  7  7 29  7  1  7  7  7  7  7  7
  4  7  7  7  7  7  7  7 11 11 11 26 11 12 11 27 14 11 26 12 11 11 12 27
 11 12 11 11 25 12 24 24 12 12 12 12 12 12 12 24 12 25 12 24 12 12 26 12]"
4,0.57,0.7153436655735256,0.027809619903564453,"[ 6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6 24 29 24 29
 24 29 24 29 18 27 24 29 29 24 27 29 29 24 29 24  4  4  8  4 12  8  4  8
  4  8  8 12 10 12  8  8  4  8  4  4 13 22 22 22 22 22 22 22 22 22 22 22
 22 22 22 22 22 22 22 22 29 22 20 13 20  2 24 13 13 13 13 13 27 20 27 20
 29 24  8 13  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
 18 18  8  8 18  8 18  8 18  8 18  8 18  8 18  8 18  8  8 18 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 24 27 29 13 24 13  8 20
 27  7 13  8 24 21 10 24  8 27 13  8  4  4 27 13 25  2 13  4  2 20 13 20
 13  2  2  4  8 13  2 20 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
 15  5 15  5 15  5 15 27 29  5 15  5  5 15 27 29  5 15  5 15  1 17  1  1
  1  1  1  1  1  1  1 19  1 17  1  1  1  1  1  1 21 13 20 21 10 21 10  9
 10 10  8 14 10  3 10 16 20  3 13 20  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 17 17 19 19 17 19 17 19 19 19 17 19 19 17 19 17 19 17 19 17
  0  0  0  0  0  0 18 18  0  0  0  0  0  0 27  0  0  0  0  0 27  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 14 14 14 14 14 14 14 14
 20 14 14 14 14 14 10 14  9 14 14 14  4 24 27  4 13  3 10 24 18 13  8  4
  4 24 27  4  4 27 24  4 26  2  2 11  2  2  2 26  9 26 10  2 28 26 26 26
 10  2  2  2 23 21 11  9 23  9 11 11  9 23  9 25 10 11 11 23 11 11 10 11
 25 12 12 11 12 11 12 12 12 16 12 11 12 28  2 10 23 25 12 25  9 25 18 12
 18 23 25 25 12 10 25 25 18 25 12 20 25 25 20 12  3 22 22 22 22 22  3  3
 22 22 22 22 22  3 22 22 22 22 22 22 28 28 28 18 28  9 28 28 28 28 28 28
 16 28 28 28 28  9 28 28 11 11 11 27 11  5 11  7  4 11  2  2 11 11 23  7
 11 27 11  2 10  9  2 10 10  2 10 10 28 23 28 10  2 26 28 28 28  2  2 23]"
5,0.55,0.7226156382940448,0.022372961044311523,"[ 9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 12  7 12  7
 12  7 12  7  2 22 10  7  7 12 22  7  7 12  7 12  5  5 13  5 17 10  5 13
  5 13 13 17 26 16 13 10  5 10  5  5  0  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  7  3  5 27 11  0 19 27 27 27 27 19  5  2  8  2
  7 19 13 27  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 27 22 27 27 10 27 10  2
  8  1 27 10 12 20 11 12 10 22 27 10  5  5  5 27 16 21 21  5 21  2 27  2
 21 10 21  5 10 21 21  2 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22
 22 22 22 22 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 19 14 19 14 19 14 19 22 27 14 19 14 14 19 22 27 14 19 14 19 14 14 14 14
 14 14 14 14 14 14 14 22 14 24 14 14 14 14 14 14 11 21  5 11 26 11 11 21
 21 11 13  4 26 12 26 20 11 20 21  5 13 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8 24 24 22 22 24 22 24 24 22 22 24 22 22 24 22 24 22 24 22 24
 15 15 15 15 15 15 15 15 15 15 15 15 15 15  8 15 15 15 15 15  5  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  4  4  4  4  4  4  4  4
  2  4  4  4  4  4 11  4 10  4  0  4  5 19  5  5 27 20 11 19  2 12 13  5
  5 12 22  5  5 22 19  5 11 28 28 28 10 29 29 11 11 11 11 29 11 11 11 11
 11 29 29 29 18 25 25 11 18 26 25 25 11 18 28 25 11 25 25 18  0 25 11 25
 25 17 16 25 17 25 16 17 17  8 17  0 17 29 17 26 26 16 16 25  2 16 13 16
  2 26 16 16 16 26 16 16 13 16 16 26 16 16  2 16  3  3 20 20  3  3  3  3
 20  3 20  3  3  3  3 20 20 20  3  3  6  6  6 13  6 13  6  6  6  6  6  6
  8  6  6  6  6  6  6  6 23 23 23 29 23 29 23  1  5 23 29 29 23 23 29  1
 23 29 23 23 11 29 11 11 26 29 11 29 26 18 17 29 10 11 11 11 11 26 26 26]"
6,0.565,0.7209312647296929,0.023493289947509766,"[14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 10  2 10  2
 10  2 10  2 28  0 28  2  2 10  0  2  2 10  2 10  1  1 28  1 17 17  1 28
  1 28 28 17 17 27 28 28  1 28  1  1  5  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  2 29  1  5 15  5 10 10 10 10  5 10  0  1  0  0
  2 10 28  5  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  7  7 28 28  7 28  7 28  7 28  7 28  7 28  7 28  7 28 28  7  9  9  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 10  0  2  5 23 10 28  1
  0 19  5 28 10 15 11 10 28  0  2 28  1  1  0 10 27 13  5  1 13 17 10  0
 13 13 13  1 28  5  5 18  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 10  9 10  9 10  9 10  0  2  9 10  9  9 10  0 10  9 10  9 10  9  9  9  9
  9  9  9  9  9  9  9  4  9  9  9  9  9  9  9  9 15  5  0 15 11 15 11  5
 11 11 28 11 11 29 11 29 15 24  5  0 28 28 28 28 28 28 28 28 28 28 28 28
 28 28 28 28 28 28 28 28 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
 12 12 12 12  9  9  4  4  9  4  9  4  4  4  9  4  4  9  4  9  4  9  4  9
 18 18 18 18 18 18  7  7 18 18 18 18 18 18  0 18 18 18 18 18  0 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 21 21 21 21 21 21 21 21
 20 21 21 21 21 21 11 21 20 21  5 21  1 10  0  1 10 29 11 10  7 10 28  1
  1 10  2  1  1  0 10  1 26 23 23 25 23 23 23 26 11 26 11 23 26 26 26 26
 22 23 23 23 11 15  8 11 11 11  8  8 11 11 11  8 11  8  8 11  8  8 11  8
  8 17 27  8 17  8 27 17 13 12 17  8 17 23 17 16 23 27 27  8 20 27  7 27
 17 13 27 27 27 17 27 27  7 27 27 17 27 27 17 27 29 29 24 24  3 29 29 29
 24 29 24  3  3 29 29 24 24 29 29 29 16 16 16  7 16 20 16 16 16 16 16 16
 12 16 16 16 16 16 16 16 25 25 25 23 25 23 25 19  1 25 23 23 25 25 23 19
 25 23 25 25 11 23 13 11 11 23 11 11 23 23 17 11 17 11 11 24 11 23 23 23]"
7,0.5066666666666667,0.6966019645559776,0.02309250831604004,"[ 9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 22  8 22  8
 22  8 22  8 17 24  3  8  8 22 24  8  8 22  1 22 11 11 17 11 13 17 11 17
 11 17 17 13 26 14 17  3 11 17 11 11  0 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19  8 19  2  8  2  0 22  8  8 22  8 22 24  2 18  2
  8 22  3 22 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
  4  4  3  3  4  3  4  3  4  3  4  3  4  3  4  3  4  3  3  4 29 29 29 29
 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 22 24  8  8  3 22  3  2
 18 24  8  3 22  5 26 22  3 24  8 17 11 11 11 22 14 12 22 11 12  2 22  2
 12 12 12 11 17 22 12  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 10  6 10  6 10  6 10 24  8  6 10  6  6 10 24  8  6 10  6 10  6  6  6  6
  6  6  6  6  6  6  6  1  6 29  6  6  6  6  6  1 24  0  2 24 26 24 26 27
 26 26 17 27 26 16 26 16  2 16  0  2 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 29 29 18  1 29  1 29  1  1  1 29  1  1 29  1 29  1 29  1 29
  4  4  4  4  4  4  4  4  4  4  4  4  4  4 18  4  4  4  4  4 24  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  7  7  7  7  7  7 27 27
  2 27  7 27  7 27 10  7 10 27  0 27 11 22 11 11 22  5 26 22  4 22 17 11
 11 22  1 11 11 24 22 11 26 25 12 25 25 25 25  2 26  2 26 25 21 26 28 26
  2 25 25 25 28 20 20 21 28 26 20 20 26 28 26 20 26 20 20 28 20 20 26 20
 20 12 14 20 13 20 14 13 13 18 12 20 13 25 13 28 26 14 14 20  4 14  4 14
 13 13 14 14 14  2 14 14  4 14 14  2 14 14  2 14 16 16  5  5 19 16 16 16
  5 19  5 19 19 16 19  5  5  5 19 19 21 21 15  4 15 17 21 15 21 15 21 21
 18 21 21 21 15 21 21 21 23 23 23 25 23 25 23 25 11 23 25 28 23 23 25 25
 23 25 23 25 28 25 25 26 26 15 26 28 15 25 21 26 28 28 21  5 21 25 25  2]"
8,0.5183333333333333,0.7100126790666872,0.020281076431274414,"[11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  4 15  4 15
  4 15  4 15  2  9  4 15 15  4  9 15 15  4 15  4  0  0  2 14  8  2 24  2
 14  2  2  8 26  8  2  2 24  2 24  0  7 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 15 10 24 23  9  7  4 23 23 23 23  4 24 24 20  9
 15  4  2 23 14 14 14 14 24 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  5  5  5  5
  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 23  9 23 23 25 23  2  9
 24 17 23  2  4 28  9 23  2  1 23  2 14 24 24 23  8 26 25 24 25  9 22  9
 26 26 26 24 25 25 25 12  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
 25  5 25  5 25  5 25  9 23  5 25  5  5 25  9 23  5 25  5 25 29 29 29 29
 29 29 29 29 29 29 29  1 29  5 29 29 29 29 29 29 28  7  9 28  9 28  9  7
  7  9  2 15  9  4  7 13  9 10  7  9  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2 20 13 13 13 13 13 20 13 13 20 20 13 20 20 20 20
 20 20 20 20  5  5  1  1  5  1  5  1  1  1  5  1  1  5  1  5  1  5  1  5
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 20 12 12 12 12 12  9 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 16 16 16 16 16 16
 28 16 16 16 16 16 25 16 25 16  7  7 24 25 24 14 22 28  9  4  2 22  2 24
 24 22  1 24 24  1 22 24 18 26 26 21 26 26 26 18 18 18 18 26  6 18 18 18
 18 26 26 26 18 19 21 19 18 26 19 19 19 18 18 21 19 21 19 18 19 19 19 19
 19  8  8 21 26 19  8 26 26 20  8 19  8 18 26 18 26  8  8 19  3  8  2  8
 26 26  8  8  8  9  8  8  2  3  8  9  3 21  9  8 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 27 27 27  2  6  2 27 27 27  6 27 27
 20 27 27 27 27 27  6 27 21 21 21  6 21 17 21 17 24 21  6 26 21 21 26 17
 21  9 21  9 18 26 26 18 18  6 22 18  6 22 22 18 26 18  6 28  6  6 26 26]"
9,0.5366666666666666,0.7052614653072068,0.02174997329711914,"[29 29 29  4 29  4 29  4  4 29  4 29 29 29 29 29  4 29  4  4 15  8 15  8
 15  8 15  8  1  6 15  8  8 15  6  8  8 15  8 15  3  3  1  3 20  1  3  1
  3  1  1 20 26 20  1  1  3  1  3  3 17  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  8 18 25 17 25  1 15 17 17 17 17 17  3 25  8 25
  8 15 11 17  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
 11 11  1  1 11  1 11  1 11  1 11  1 11  1 11  1 11  1  1 11 28 28 28 28
 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 17  6  8 17 15 17  1 25
  3 14 17  1 15 18 26 17  1  6 17  1 25 25  3 15  9 27 15  3 27 25 15 25
 27 27 27 25  1 15 27 25  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
  7 28  7 28  7 28  7  6 17 28  7 28 28  7  6 17 28  7 28  7  2  2  2  2
  2  2  2  2  2  2  2  6  2 28  2  2  2  2  2  2  0 16 25  0 26  0 26 16
 16 26  1 16 26 17 16 10  0 18 17 25  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 28 28  6  6 28  6 28  6  6  6 28  6  6 28  6 28  6 28  6 28
 13 13 13 13 13 13 11 11 13 13 13 13 13 13 10 13 13 13 13 13  3 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 12 12 12 12 12 12 12 12
 25 12 12 12 12 12  7 12  7 12 12 12 25 15  3  3 15 18 26 15 11 15  1 25
 25 15  6 25 25  6 15  3 26 21 27 21 27 24 21 26 26 24 26 21 19 26 24 26
 26 21 24 24 24  0 23 26 24 26 23  9 26 24 26  9 26 23 26 24 23 23 26  9
 23 20 20 23 27 23 20 27 27 14 20 23 27 21 27 19 24 20 20  9 11  9 11  9
 27 24 20  9 20 26  9 20 11  9 20 25  9  9 25 20  5 18 18 18  5 18 18  5
 18  5 18  5  5  5 18 18 18 18  5  5 19 19 22 11 19  1 19 22 22 22 22 22
 10 22 22 22 22 19 22 19 23 21 23 21 23 21 23 14 25 23 21 24 23 23 21 14
 23 16 23 16 21 24 24 26 26 24 24 24 26 21 21 21 24 24 21  0 22 24 24 21]"
