trial,lambda,acc,nmi,time,pred
0,1e-08,0.5783333333333334,0.7283554731159532,2.276535749435425,"[ 8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 20 20 20 20
 20 20 20 20 21 19 20 20 20 20 19 20 20 20  9 20  2  2 21  2 16 21  2 21
  2 21 21 16 21 10 21 21  2 21  2  2 20 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 20 13  2 20 19 20 20 20 20 20 20 20 19  2 17  2
 20 20 27 20  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
 27 27 21 21 27 21 27 21 27 21 27 21 27 21 27 21 27 21 21 27 28 28 28 28
 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 20 12 20  7 21 20 21 21
  2 12 20 21 20 13 23 20 19 19 20 21  2  2  2 20  6 20 20  2 20  2 20 19
 20 20 20  2 15 20 20 25 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
 20  9 20  9 20  9 20 19 20  9 20  9  9 20 19 20  9 20  9 15  1  1  1  1
  1  1  1  1  1  1  1 17  1 28  1  1  1  1  1  1 19 20  2 19 14 19 14 20
 20 14 21 20 24 20 20  3 19 13 20  2 21 21 21 21 21 21 21 21 21 21 21 21
 21 21 21 21 21 21 21 21  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3 28 28 17 17 28 17 28 28 28 17 28 17 17 28 17 28 17 28 17 28
 25 25 25 25 25 25 25 25 25 25 25 25 25 25 17 25 25 25 25 25 19 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  4  4  4  4  4  4  4  4
 23  4  4  4  4  4 23  4 23  4 20  4  2 20  2  2 20  0 20 20 27 20 21  2
  2 20 17  2  2 17 20  2  7 24 24 24 24 24 24  7  7  7  7 24  7  7  7 23
  7 24 24 29 24 26 26 26 24 21 22 26 26 24 22 26 21 26 26 24 26 26 23 26
 26 16  6 26 16 26  6 16 16 12 16 26 16 24 16 26  5  6  6 26 27  6 27  6
 16 16  6  6  6 16  6  6 27  6  6 16  6  6 16  6 13 13  0  0 13 13 13 13
  0 13  0 13 13 13 13  0  0 13 13 13 11 11 11 27 11 11 11 11 11 11 11 11
  3 11 11 11 11 11 11 11 18 18 18 12 18 12 18 14 24 18 24 12 18 18 12 12
 18 29 18 18 14 29 15 14 24 24 20 14 24 18 14 11 24 20 24 22 23 24 24 24]"
1,1e-08,0.5816666666666667,0.7334915918862601,0.9888894557952881,"[ 7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 25 25 25 25
 25 25 25 25 20 16 25 25 25 25 16 25 25 25  9 25  0  0 20  0 23 20  0 20
  0 20 20 23 20 11 20 20  0 20  0  0 25 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 25 13  0 25 16 25 25 25 25 25 25 25 16  0 19  0
 21 25 24 25  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 24 24 20 20 24 20 24 20 24 20 24 20 24 20 24 20 24 20 20 24 27 27 27 27
 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 25  8 25 10 20 25 20 20
  0  8 25 20 25 13 17 25 16 16 25 20  0  0  0 25  5 25 25  0 25  0 25 16
 25 25 25  0 25 25 25  6 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
 25  9 25  9 25  9 25 16 25  9 25  9  9 25 16 25  9 25  9 25  1  1  1  1
  1  1  1  1  1  1  1 19  1 27  1  1  1  1  1  1 16 25  0 16 14 16 14 25
 25 14 20 25 14 25 25  2 16 13 25  0 20 20 20 20 20 20 20 20 20 20 20 20
 20 20 20 20 20 20 20 20  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2 27 27 19 19 27 19 27 27 27 19 27 19 19 27 19 27 19 27 19 27
  6  6  6  6  6  6  6  6  6  6  6  6  6  6 19  6  6  6  6  6 16  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  3  3  3  3  3  3  3  3
 17  3  3  3  3  3 17  3 17  3 25  3  0 25  0  0 25  4 25 25 24 25 20  0
  0 25 19  0  0 19 25  0 10 26 26 26 26 26 26 10 10 10 10 26 10 10 10 17
 10 26 26 21 26 28 28 28 26 20 12 28 28 26 22 28 20 28 28 26 28 28 17 28
 28 23  5 28 23 28  5 23 23  8 23 28 23 29 23 28 25  5  5 28 24  5 24  5
 23 23  5  5  5 23  5  5 24  5  5 23  5  5 23  5 13 13  4  4 13 13 13 13
  4 13  4 13 13 13 13  4  4 13 13 13 12 12 12 24 12 12 12 12 12 12 12 12
  2 12 12 12 12 12 12 12 18 18 18  8 18  8 18  9 26 18 26  8 18 18  8  8
 18 21 18 18 14 21 15 14 29 26 29 14 29 18 14 12 29 29 29 22 23 29 29 29]"
2,1e-08,0.5816666666666667,0.7348507609328644,0.86954665184021,"[ 9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 24 24 24 24
 24 24 24 24  0 19 24 24 24 24 19 24 24 24 27 24 17 17  0 17 15  0 17  0
 17  0  0 15  0 11  0  0 17  0 17 17 24 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 24 13 17 24 19 24 24 24 24 24 24 24 19 17 26 17
 20 24 23 24 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 23 23  0  0 23  0 23  0 23  0 23  0 23  0 23  0 23  0  0 23  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 24 12 24  5  0 24  0  0
 17 12 24  0 24 13 22 24 19 19 24  0 17 17 17 24 10 24 24 17 24 17 24 19
 24 24 24 17 24 24 24  7 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
 24 27 24 27 24 27 24 19 24 27 24 27 27 24 19 24 27 24 27 24  1  1  1  1
  1  1  1  1  1  1  1 26  1  8  1  1  1  1  1  1 19 24 17 19 14 19 14 24
 24 14  0 24 14 24 24  3 19 13 24 17  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  8  8 26 26  8 26  8  8  8 26  8 26 26  8 26  8 26  8 26  8
  7  7  7  7  7  7  7  7  7  7  7  7  7  7 26  7  7  7  7  7 19 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  4  4  4  4  4  4  4  4
 22  4  4  4  4  4 22  4 22  4 24  4 17 24 17 17 24  2 24 24 23 24  0 17
 17 24 26 17 17 26 24 17  5 25 25 25 25 25 25  5  5  5  5 25  5  5  5 22
  5 25 25 20 25 28 28 28 25  0 18 28 28 25 18 28  0 28 28 25 28 28 22 28
 28 15 10 28 15 28 10 15 15 12 15 28 15 29 15 28 24 10 10 28 23 10 23 10
 15 15 10 10 10 15 10 10 23 10 10 15 10 10 15 10 13 13  2  2 13 13 13 13
  2 13  2 13 13 13 13  2  2 13 13 13  6  6  6 23  6  6  6  6  6  6  6  6
  3  6  6  6  6  6  6  6 21 21 21 12 21 12 21 27 25 21 25 12 21 21 12 12
 21 20 21 21 14 20 16 14 29 25 29 14 29 21 14  6 29 29 29 18 15 29 29 29]"
3,1e-08,0.5533333333333333,0.7312441260136041,2.415466547012329,"[12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 25 25 25 25
 25 25 25 25 23 11 25 25 25 25 11 25 25 25 25 25 22 22 23 22 20 23 22 23
 22 23 23 20 23  5 23 23 22 23 22 22 25 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 25 10 22 25 11 25 25 25 25 25 25 25 11 22 15 22
 25 25 21 25 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22
 21 21 23 23 21 23 21 23 21 23 21 23 21 23 21 23 21 23 23 21  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 25 11 25  9 23 25 23 23
 22 13 25 23 25 10 24 25 11 11 25 23 22 22 22 25  7 25 25 22 25 22 25 11
 25 25 25 22 25 25 25  8 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
 25  0 25  0 25  0 25 11 25  0 25  0  0 25 11 25  0 25  0 25  1  1  1  1
  1  1  1  1  1  1  1 15  1  0  1  1  1  1  1  1 11 25 22 11 17 11 17 25
 25 17 23 25 17 25 25  6 11 10 25 22 23 23 23 23 23 23 23 23 23 23 23 23
 23 23 23 23 23 23 23 23  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  0  0 15 15  0 15  0  0  0 15  0 15 15  0 15  0 15  0 15  0
  8  8  8  8  8  8  8  8  8  8  8  8  8  8 15  8  8  8  8  8 11 13 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13  4  4  4  4  4  4  4  4
 24  4  4  4  4  4 24  4 24  4 25  4 22 25 22 22 25  3 25 25 21 25 23 22
 22 25 15 22 22 15 25 22  9  2  2  2  2  2  2  9  9  9  9  2  9  9  9 24
  9  2  2 27  2 16 16 16  2 23 14 16 16  2 14 16 23 16 16  2 16 16 24 16
 16 20  7 16 20 16  7 20 20 26 20 16 20 28 20 16 25  7  7 16 21  7 21  7
 20 20  7  7  7 20  7  7 21  7  7 20  7  7 20  7 10 10  3  3 10 10 10 10
  3 10  3 10 10 10 10  3  3 10 10 10 19 19 19 21 19 19 19 19 19 19 19 19
  6 19 19 19 19 19 19 19 29 29 29 13 29 13 29 13  2 29  2 29 29 29 13 29
 29 27 29 29 17 27 18 17 28  2 28 17 28 29 17 19 28 28 28 14 20 28 28 28]"
4,1e-08,0.5516666666666666,0.7256814872409509,2.4303040504455566,"[11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 25 25 25 25
 25 25 25 25 24 16 25 25 25 25 16 25 25 25 25 25 23 23 24 23 21 24 23 24
 23 24 24 21 24 12 24 24 23 24 23 23 25  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4 25  4 23 25 16 25 25 25 25 25 25 25 16 23  7 23
 25 25 27 25 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23
 27 27 24 24 27 24 27 24 27 24 27 24 27 24 27 24 27 24 24 27 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 25 16 25  6 24 25 24 24
 23  0 25 24 25  4 13 25 16 16 25 24 23 23 23 25 10 25 25 23 25 23 25 16
 25 25 25 23 25 25 25  2  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 25 17 25 17 25 17 25 16 25 17 25 17 17 25 16 25 17 25 17 25  1  1  1  1
  1  1  1  1  1  1  1  7  1 17  1  1  1  1  1  1 16 25 23 16 13 16 13 25
 25 13 24 25 13 25 25  5 16  4 25 23 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5 17 17  7  7 17  7 17 17 17  7 17  7  7 17  7 17  7 17  7 17
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  7  2  2  2  2  2 16  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  3  3  3  3  3  3  3
 14  3  3  3  3  3 14  3 14  3 25  3 23 25 23 23 25  8 25 25 27 25 24 23
 23 25  7 23 23  7 25 23  6 26 26 26 26 26 26  6  6  6  6 26  6  6  6 14
  6 26 26 20 26 22 22 22 26 24 15 22 22 26 15 22 24 22 22 26 22 22 14 22
 22 21 10 22 21 22 10 21 21 28 21 22 21 26 21 22 29 10 10 22 27 10 27 10
 21 21 10 10 10 21 10 10 27 10 10 21 10 10 21 10  4  4  8  8  4  4  4  4
  8  4  8  4  4  4  4  8  8  4  4  4  9  9  9 27  9  9  9  9  9  9  9  9
  5  9  9  9  9  9  9  9 19 19 19  0 19  0 19  0 26 19 26 19 19 19  0 19
 19 20 19 19 13 20 18 13 26 26 25 13 26 19 13  9 26 25 26 15 21 26 26 26]"
5,1e-08,0.5516666666666666,0.7285779882285982,1.6476383209228516,"[ 6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  0  0  0  0
  0  0  0  0 26 19  0  0  0  0 19  0  0  0 29  0 17 17 26 17  7 26 17 26
 17 26 26  7 26 10 26 26 17 26 17 17  0 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13  0 13 17  0 19  0  0  0  0  0  0  0 19 17 22 17
 29  0 25  0 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 25 25 26 26 25 26 25 26 25 26 25 26 25 26 25 26 25 26 26 25 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15  0 19  0  2 26  0 26 26
 17  9  0 26  0 13 23  0 19 19  0 26 17 17 17  0 12  0  0 17  0 17  0 19
  0  0  0 17  0  0  0  4 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22
 22 22 22 22  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  0 15  0 15  0 15  0 19  0 15  0 15 15  0 19  0 15  0 15  0  1  1  1  1
  1  1  1  1  1  1  1 22  1 15  1  1  1  1  1  1 19  0 17 19 16 19 16  0
  0 16 26  0 16  0  0  5 19 13  0 17 26 26 26 26 26 26 26 26 26 26 26 26
 26 26 26 26 26 26 26 26  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5 15 15 22 22 15 22 15 15 15 22 15 22 22 15 22 15 22 15 22 15
  4  4  4  4  4  4  4  4  4  4  4  4  4  4 22  4  4  4  4  4 19  9  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  3  3  3  3  3  3  3  3
 23  3  3  3  3  3 23  3 23  3  0  3 17  0 17 17  0  8  0  0 25  0 26 17
 17  0 22 17 17 22  0 17  2 24 24 24 24 24 24  2  2  2  2 24  2  2  2 23
  2 24 24 28 24 14 14 14 24 26 18 14 14 24 18 14 26 14 14 24 14 14 23 14
 14  7 12 14  7 14 12  7  7  9  7 14  7 27  7 14  0 12 12 14 25 12 25 12
  7  7 12 12 12  7 12 12 25 12 12  7 12 12  7 12 13 13  8  8 13 13 13 13
  8 13  8 13 13 13 13  8  8 13 13 13 11 11 11 25 11 11 11 11 11 11 11 11
  5 11 11 11 11 11 11 11 21 21 21  9 21  9 21  9 24 21 24 21 21 21  9 21
 21 28 21 21 16 28 20 16 27 24 28 16 27 21 16 11 27 27 27 18 23 27 27 27]"
6,1e-08,0.5583333333333333,0.7300848059290971,2.1262097358703613,"[ 8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  0 27  0 27
  0 27  0 27 22  9  0 27 27  0  9 27 27  0 27  0 18 18 22 18 20 22 18 22
 18 22 22 20 29 12 22 22 18 22 18 18  0 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16  0 16 18  0  9  0  0  0  0  0  0  0  9 18 26 18
 27  0 22  0 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18
 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 14 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14  0  6  0 10 22  0 22 22
 18  6 24 22  0 16 13  0  9  9  0 22 18 18 18  0  0  0  0 18  0 18  0  9
  0  0  0 18  0  0  0  2 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
  0 27  0 27  0 27  0  9  0 27  0 27 27  0  9  0 27  0 27  0  1  1  1  1
  1  1  1  1  1  1  1 26  1 14  1  1  1  1  1  1  9  0 18  9 15  9 15  0
 29 15 22  0 15  0  0  3  9 16  0 18 22 22 22 22 22 22 22 22 22 22 22 22
 22 22 22 22 22 22 22 22  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3 14 14 26 26 14 26 14 14 14 26 14 26 26 14 26 14 26 14 26 14
  2  2  2  2  2  2  2  2  2  2  2  2  2  2 26  2  2  2  2  2  9  6  6  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  5  5  5  5  5  5  5  5
 13  5  5  5  5  5 13  5 13  5  0  5 18  0 18 18  0  7  0  0 22  0 22 18
 18  0 26 18 18 26  0 18 10 23 23 23 23 23 23 10 10 10 10 23 10 10 10 13
 10 23 23 29 23 25 25 25 23 29 17 25 25 23 17 25 29 25 25 23 25 25 13 25
 25 20  4 25 20 25  4 20 20  6 20 25 20 24 20 25  0  4  4 25 28  4 22  4
 20 20  4  4  4 20  4  4 22  4  4 20  4  4 20  4 16 16  7  7 16 16 16 16
  7 16  7 16 16 16 16  7  7 16 16 16 11 11 11 22 11 11 11 11 11 11 11 11
  3 11 11 11 11 11 11 11 21 21 21  6 21  6 21 27 23 21 23 21 21 21  6  6
 21 29 21 21 15 29 19 15 24 23 24 15 24 21 15 11 24 24 24 17 20 24 24 24]"
7,1e-08,0.5783333333333334,0.7327750615157016,1.8259401321411133,"[ 8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 25 25 25 25
 25 25 25 25 23 16 25 25 25 25 16 25 25 25 10 25  0  0 23  0 21 23  0 23
  0 23 23 21 23 11 23 23  0 23  0  0 25 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 25 13  0 25 16 25 25 25 25 25 25 25 16  0 19  0
 25 25 28 25  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 28 28 23 23 28 23 28 23 28 23 28 23 28 23 28 23 28 23 23 28 27 27 27 27
 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 25  9 25  7 23 25 23 23
  0  9 25 23 25 13 17 25 16 16 25 23  0  0  0 25  6 25 25  0 25  0 25 16
 25 25 25  0 15 25 25 26 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 25 10 25 10 25 10 25 16 25 10 25 10 10 25 16 25 10 25 10 15  1  1  1  1
  1  1  1  1  1  1  1 19  1 27  1  1  1  1  1  1 16 25  0 16 20 16 14 25
 20 14 23 25 20 25 25  2 16 13 25  0 23 23 23 23 23 23 23 23 23 23 23 23
 23 23 23 23 23 23 23 23  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2 27 27 19 19 27 19 27 27 27 19 27 19 19 27 19 27 19 27 19 27
 26 26 26 26 26 26 26 26 26 26 26 26 26 26 19 26 26 26 26 26 16  9  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  3  3  3  3  3  3  3  3
 17  3  3  3  3  3 17  3 17  3 25  3  0 25  0  0 25  4 25 25 28 25 23  0
  0 25 19  0  0 19 25  0  7 20 20 20 20 20 20  7  7  7  7 20  7  7  7 17
  7 20 20 20 20 24 24 24 20 23 22 24 24 20 22 24 23 24 24 20 24 24 17 24
 24 21  6 24 21 24  6 21 21  9 21 24 21 29 21 24  5  6  6 24 28  6 28  6
 21 21  6  6  6 21  6  6 28  6  6 21  6  6 21  6 13 13  4  4 13 13 13 13
  4 13  4 13 13 13 13  4  4 13 13 13 12 12 12 28 12 12 12 12 12 12 12 12
  2 12 12 12 12 12 12 12 18 18 18  9 18  9 18 10 20 18 20  9 18 18  9  9
 18 20 18 18 14 20 15 14 29 20 25 14 29 18 14 12 29 29 29 22 17 29 29 29]"
8,1e-08,0.58,0.7291947960187048,0.5352940559387207,"[ 2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2 26 26 26 26
 26 26 26 26 18 17 26 26 26 26 17 26 26 26 27 26 22 22 18 22 25 18 22 18
 22 18 18 25 18 13 18 18 22 18 22 22 26  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5 26  5 22 26 17 26 26 26 26 26 26 26 17 22  7 22
 26 26 21 26 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22
 21 21 18 18 21 18 21 18 21 18 21 18 21 18 21 18 21 18 18 21  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 26 12 26  6 18 26 18 18
 22 12 26 18 26  5 15 26 17 17 26 18 22 22 22 26  9 26 26 22 26 22 26 17
 26 26 26 22 19 26 26  4  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
 26 27 26 27 26 27 26 17 26 27 26 27 27 26 17 26 27 26 27 19 29 29 29 29
 29 29 29 29 29 29 29  7 29  8 29 29 29 29 29 29 17 26 22 17 14 17 14 26
 26 14 18 26 14 26 26  0 17  5 26 22 18 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 18 18 18 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  8  8  7  7  8  7  8  8  8  7  8  7  7  8  7  8  7  8  7  8
  4  4  4  4  4  4  4  4  4  4  4  4  4  4  7  4  4  4  4  4 17 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  3  3  3  3  3  3  3  3
 15  3  3  3  3  3 15  3 15  3 26  3 22 26 22 22 26 10 26 26 21 26 18 22
 22 26  7 22 22  7 26 22  6 28 28 28 28 28 28  6  6  6  6 28  6  6  6 15
  6 28 28 24 28 23 23 23 28 18 16 23 23 28 16 23 18 23 23 28 23 23 15 23
 23 25  9 23 25 23  9 25 25 12 25 23 25 28 25 23  1  9  9 23 21  9 21  9
 25 25  9  9  9 25  9  9 21  9  9 25  9  9 25  9  5  5 10 10  5  5  5  5
 10  5 10  5  5  5  5 10 10  5  5  5 11 11 11 21 11 11 11 11 11 11 11 11
  0 11 11 11 11 11 11 11 20 20 20 12 20 12 20 27 28 20 28 12 20 20 12 12
 20 24 20 20 14 24 19 14 28 28 26 14 28 20 14 11 28 26 28 16 25 28 28 28]"
9,1e-08,0.5783333333333334,0.7331374920490019,0.9166243076324463,"[13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 24 24 24 24
 24 24 24 24  0 19 24 24 24 24 19 24 24 24 27 24 17 17  0 17 14  0 17  0
 17  0  0 14  0 11  0  0 17  0 17 17 24  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2 24  2 17 24 19 24 24 24 24 24 24 24 19 17 26 17
 21 24 23 24 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 23 23  0  0 23  0 23  0 23  0 23  0 23  0 23  0 23  0  0 23  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 24 12 24  5  0 24  0  0
 17 12 24  0 24  2 22 24 19 19 24  0 17 17 17 24 10 24 24 17 24 17 24 19
 24 24 24 17 24 24 24  6 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
 24 27 24 27 24 27 24 19 24 27 24 27 27 24 19 24 27 24 27 24  1  1  1  1
  1  1  1  1  1  1  1 26  1  8  1  1  1  1  1  1 19 24 17 19 15 19 15 24
 21 15  0 24 21 24 24  4 19  2 24 17  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  8  8 26 26  8 26  8  8  8 26  8 26 26  8 26  8 26  8 26  8
  6  6  6  6  6  6  6  6  6  6  6  6  6  6 26  6  6  6  6  6 19 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  3  3  3  3  3  3  3  3
 22  3  3  3  3  3 22  3 22  3 24  3 17 24 17 17 24  9 24 24 23 24  0 17
 17 24 26 17 17 26 24 17  5 29 29 29 29 29 29  5  5  5  5 29  5  5  5 22
  5 29 29 21 29 25 25 25 29  0 18 25 25 29 18 25  0 25 25 29 25 25 22 25
 25 14 10 25 14 25 10 14 14 12 14 25 14 28 14 25 24 10 10 25 23 10 23 10
 14 14 10 10 10 14 10 10 23 10 10 14 10 10 14 10  2  2  9  9  2  2  2  2
  9  2  9  2  2  2  2  9  9  2  2  2  7  7  7 23  7  7  7  7  7  7  7  7
  4  7  7  7  7  7  7  7 20 20 20 12 20 12 20 27 29 20 29 12 20 20 12 12
 20 21 20 20 15 21 16 15 28 29 21 15 28 20 15  7 28 28 28 18 14 28 28 28]"
