trial,acc,nmi,time,pred
0,0.4824372759856631,0.5328811090527055,0.1708970069885254,[ 1 12 12 ...  2  2  2]
1,0.5168458781362008,0.5559543813286966,0.18831682205200195,[6 9 9 ... 1 1 1]
2,0.5315412186379929,0.5604491720532296,0.18210697174072266,[7 6 6 ... 3 3 3]
3,0.5616487455197132,0.5653734047103378,0.22495770454406738,[9 2 2 ... 8 8 8]
4,0.514336917562724,0.5552722666548748,0.15158796310424805,[ 1  4  4 ... 14 14 14]
5,0.5229390681003584,0.565714101562257,0.1627509593963623,[ 0 14 14 ...  5  5  5]
6,0.5068100358422939,0.5612210386928062,0.16646909713745117,[ 9 10 10 ...  3  3  3]
7,0.5028673835125448,0.5192454931034461,0.16078734397888184,[ 4 11 11 ...  5  5  5]
8,0.5017921146953405,0.556634648959706,0.21441864967346191,[0 8 8 ... 3 3 3]
9,0.521505376344086,0.5542967754066975,0.17209863662719727,[11  5  5 ...  0  0  0]
10,0.5279569892473118,0.5634624659172671,0.13578009605407715,[ 8  6  6 ... 13 13  2]
11,0.47025089605734766,0.5334043286814191,0.17728924751281738,[ 6 11 11 ...  1  1  1]
12,0.4874551971326165,0.5333302173596127,0.12047386169433594,[0 8 8 ... 4 4 4]
13,0.5394265232974911,0.5606927173005344,0.23443293571472168,[1 4 4 ... 6 6 6]
14,0.48566308243727596,0.5320801754903918,0.23540997505187988,[ 2 14 14 ... 10 10 10]
15,0.5501792114695341,0.5744650050355024,0.22476959228515625,[0 1 1 ... 7 7 7]
16,0.5315412186379929,0.566365994891332,0.2886240482330322,[ 3  4  4 ... 14 14 14]
17,0.5272401433691756,0.5544231577095433,0.2553529739379883,[ 4 10 10 ...  7  7  7]
18,0.47885304659498207,0.5541776761413334,0.308513879776001,[10 14 14 ...  3  3  3]
19,0.489247311827957,0.5426640061811645,0.16400933265686035,[ 3 10 10 ...  4  4  4]
