trial,acc,nmi,time,pred
0,0.4608695652173913,0.6484731226536186,0.028356075286865234,"[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  8  8  8  8  8  8  8  8
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  9  9  9  9  9  9  9 15 15 15
 15 15 15 15 15 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 14 12 12
 12 12 19 19 19 19 19 19 19 19 19 19 19 19 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 14 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 14 14 14 14 14  9  9  1  1
  1  7  7  7  4  4  4  7  7  1  9  9  9  9  9  1  1  1  1  7  7  7  7  4
  4  4  9  9  9  9  9  1  1  7  7  7  7  7  7  7  4  4  4  4  4  9  9  9
  1  1  1  1  1  1  7  7  7  7  7  7  7  7  7  7  7  7  7  7  4  4  4  9
  9  9  9  9  9  9  9  9  1  1  1  1  1  7  7  7  7  7  7  7  7  7  7  7
  7  9  9  9  1  1  1  1  1  1  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3  9  9  9  9  9  9  9  9  9  9 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16  9  9  9  9  9  9  9  9 10 10  1  1  8  8
  8  8  8  8  8  8  8  2  2  2  2  9  9 10  1  8  8  8  8  2  2  5  5  5
  5  5  5  5  5  5  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  6  6  6  9  9  9  9  9 10 10 10 10 10 10  1  1  1  1  8  8
  8  8  2  2  2  2  2  2  2  5  5  9  9 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 18  4 13 13 13 17 17 17 17 17 17 17 17 17 17 17 17 17  0  0
  0  0  0  0  0  0  0  0  7  7  7 15 15 15 15 15 15 15 15 15 15 15  4  4
  4  4  4  4  4  4  4  4  7  7  5  5  5 12  0  0  6  6  6  6  6 12  5  5
  5  5  5  5  5 17 17 17 17 17 17 17 17 17 17 17 17  0  0  0  0  0  0  0
  0  0  0 17 17 17 17  0  0  0  0  0  0  0  0  0  0  0  0  0  0 17 17]"
1,0.44,0.6639055250628896,0.030827999114990234,"[ 2  2  2  2  2  2  2  2  2 19 19 19 19 19 19 19 19 19 19  5  5  5 14 14
 14 14 14 14 14 14 14 14 14 14 14 14  4 14 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 13 13
 13  9  9  9  9  9  9  9  9  9  9  9  9  9 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  9  9  9  9  9  9  9  9  9  9  9  9  6 11 11 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  8  8 12 10
 10 10 16 16  7  7  7 16 10 12  8  8  8  8  8 12 12 10 10 10 16 16 16  7
  7  7  8  8  8  8  8 12 10 10 10 10 16 16 16 16  7  7  7  7  7  8  8  8
  8 12 12 12 12 10 10 10 10 10 10 10 16 16 16 16 16 16 16 16  7  7  7  8
  8  8  8  8  8  8  8  8 12 12 12 10 10 10 10 10 10 10 16 16 16 16 16 16
 16  8  8  8 12 12 12 12 12 12  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3 16 16 16 16 16 16  8  8  8  8  8  8  8  8  8 12 12 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  6  6  6  6  6  6  6  6
  6  6  6  6  6  6  6  6  6  6  2  2  2  2  2  2  2  2  2 19  5  5  5  5
  5  5  5  5  4  4  4  4  4  4  4  2  2  2  5  5  5  5  4  4  4  1  1  1
  1  1  1  1  1  1 15  1 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15  2  2  2  2  2  2  2  2  2  2  2  5  5  5  5  5  5
  4  4  4  4  4  4  4  4  4  1  1 13 13 13 13 13 13 13 18 18 18 18 18 18
 18 18 18 18 18 18 18 18 17  8  8  8  8  8  8  8  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0 16 16 16 16 11 11 11 11 11 11 11 11 11 11 11  7  7
  7  7  7  7  7  7  7  7 16 16  1  1  1 15 15 15 15 15 15 15 15 15  1  1
  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]"
2,0.4156521739130435,0.6549435552912615,0.03318667411804199,"[ 4  4  4  4  4  4  4 18 18 18 18 18 18 18 18 18 18 18 18 18 16 16 16 16
 16  2  2  2  2  2  2  2  2  2  2  2  2  2  8  8  8  8  8  8  8  8  8  8
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 19 19 19 19 19 19 19 19 19 19 19 19 13 13 13 13
 13 13 13 13 13 13 11 11 11 11 11 11 11 11 11 11 11  3 12 12 12 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  3  3  3  3  0  0 17 17
  9  9  9  9  9  9  9  9  9  0  0  0  0  0  0  0 17 17  9  9  9  9  9  9
  9  9  0  0  0  0  0 17 17  9  9  9  9  9  9  7  9  6  6  6  6  0  0  0
  0  0 17 17 17 17  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  0
  0  0  0  0  0  0  0  0  0 17 17 17 17  7  7  7  7  7  7  7  7  7  7  7
  7  0  0  0  0 17 17 17 17 17 17 17  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  8  8  8  8  8  8  8  8  8 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3  8  8  8  8  8  8  8  8 10 10 10 10 10 10
 10 16 16 16 16 16 16 16  2  2  2  8  8 10 10 10 10 16 16 16  2 19 19 19
 19 19 19 19 19 19 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13  5  5  5
  5 13 13 13 13 13  5  4  4  4  4  4  4  4  4  4  4  4 10 10 10 10 10 16
 16 16 16  2  2  2  2  2 15 19  8  8  8  8  8  8  8 14 14 14 14 14 14 14
 14 14 14 14 14 14 14 15 15  6  6  6  6  6  6  6  6  6  6  6  6  6  1  1
  1  1  1  1  1  1  1  9  9  9  9 12 12 12 12 12 12 12 12 12 12 12 12 12
  9  9  9  9  9  9  9  9  9  5 19 19 19 13  1  1  1  1  1  1 13 13 19 19
 19 19 19 19 19  6  6  6  6  6  6  6  6  6  6  6  6  6  1  1  1  1  1  1
  1  1  1  6  6  6  6  1  1  1  1  1  1  1  1  1  1  1  1  1  1  6  6]"
3,0.46608695652173915,0.6953017506534335,0.028997421264648438,"[11 11 11 11 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 10  2  2  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  5  5  5  5  5  5  5 15 15 15
 15 15 15 15 15 15 15 15 15  7  7  7  7  7  7  7  7  7  7  7  7  7 15 15
 15 19 19 19 19 19 19 19 19 19 19 19 19 19 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  7 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15  7  7  7  7  7  7  7  7  7  7  7  8  8  3  3
  3  3 12 12  3  3  3 12  3  8  8  8  8  8  8  8  3  3  3  3 12 12 12  3
  3  3  1  1  1  1  1  3  3  3  3  3 12 12 12 12  3  3  3  3  3  8  8  8
  8  8  8  3  3  3  3  3  3  3  3  3 12 12 12 12 12 12 12 12  3  3  3  1
  1  1  1  1  1  1  1  1  1  1  3  3  3  3  3  3  3  3 12 12 12 12 12 12
 12  8  8  8  8  8  8  3  4  3  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 11 11 11 11 11 11 11 11 11 10 10 10 10 10
 10 10  2  2  2  2  2  2  2  2  2 11 11 11 10 10 10  2  2  2  2 17 17 17
 17 17 17 17 17 17 17 17 17  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  6  6  6 11 11 11 11 11 11 11 11 11 11 11 10 10 10 10 10  2
  2  2  2  2  2  2  2  2  2  5  5  5  5 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13  7  7  7  8  8  8  8  8  8  8  8  8 14 14 14 14 14 14
 14 14 14 14 14 12 12 12 12 12 12  5 15 15 15 15 15 15 15 15 15 15  7  7
  7  7  7  7  7  7 12 12 12 12  5  5  5  6  6  6  6  6  6  6  6  6  5  5
  5  5  5  5  5 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14  5  5  5 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14]"
4,0.4156521739130435,0.6321771815709034,0.03009200096130371,"[ 9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 18 18 18 18 18 18 18 13 13
  8  8  8  8  8  8  8  8  8  8  8  8 10  8  5  5  5  5  5  5  5  3  3  3
  3  3  3  3  3  3  3  3  3  7  7  7  7  7  7  7  7  7  7  7  7  7  3  3
  3 15 15 15 15 15 15 15 15 15 15 15 15 15  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  6  6  6  6  6  6  6  6 14 14 14 14 14 14 14 14
 14 14 14 14 14 14  2  2  2  2  2  2  2  2  2  2  2  7  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3  3  7  7  7  7  7  7  7  7  7  5  5  4  4
  4  4 12 12 19 19 19 12  4  5  5  5  5  5  5  5  4  4  4  4 12 12 12 19
 19 19  5  5  5  5  5  4  4  4  4  4 12 12 12 12 19 19 19 19 19  5  5  5
  5  5  4  4  4  4  4  4  4  4  4 19 12 12 12 12 12 12 12 12 19 19 19  5
  5  5  5  5  5  5  5  5  5  4  4  4  4  4  4  4  4 12 12 12 12 12 12 12
 12  5  5  5  5  5  4  4 11  4 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 12 12 12 12 12 12 12  5  5  5  5  5  5  5  5  5  5  5  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 11 11 11 11 11 11 11
  7  7  7  7  7  7  7  7  7  7  5  5  5  5  5  5  9  9  9  9 18 18 18 18
 18 18 18 13 13 13 13 10 10 10 10  5  9  9 18 18 18 18 13 10 10 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 13 13
 13 13 13 13 10 10 10 10 10  6  6  6  5  5  1  1  1  1  1  1  1  1  1  1
  1  1 19 19 19 19 19  0  0 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 19 19 19 19 19 12 12 12  3  3  3  3  3  3  3  3  3  3  3 19 19
 19 19 19 19 19 19 19 19 19 12  6  6  6  2  2  2  2  2  2  2  2 14  6  6
  6  6  6  6  6 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16  2
  2  2  2 16 16 16 16 16  2  2  2  2  2  2  2  2  2  2  2  2 16 16 16]"
5,0.4434782608695652,0.6801795704965544,0.030118942260742188,"[18 18 18 18 18 18 18 18 18 18 18 18 18 18 18  5  5  5  5  5  5  5  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9 13 13 13 13 13 13 13 13  4  4
  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4 19  4  2  2
  2  2  2  2  2  2  2  2  2  2  2  2 19 19 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15  2  2  2  2  2  2  2  2  2  2  2  2  2  2 19  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  3  3  7  7
  7 17 17  1 17 17 17 17  7  3  3  3  3  3  3  3  7  7  7 17 17 17  1 17
 17 17  3  3  3  3  3  3  7  7  7 17 17 17 17  1 19 19 19 19 19  3  3  3
  3  3  3  7  7  7  7  7  7 17 17 17 17 17 17  1 17  1  1  1 17 17 17  3
  3  3  3  3  3  3  3  3  3  3  7  7  7  7  7  7  7  1  1  1  1  1  1  1
  1  3  3  3  3  3  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  1  1
  1  1  1  1  1  1  1  1  1  1  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10  1  1  1 13 13 13 13 13 13 13 13 14 14  5  5  5  5
  5  5  5  6  6  6  6  6  6  6  6 13 13 14  5  5  5  5  6  6  6 15 15 15
 15 15 15 15 15 15 15 15 15 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14 14  6
  6  6  6  6  6  6  6  6  6 13 13 13 13  0  0  0  0  0  0  0  0  0  0  0
  0  0 19 19 19 19 19 19 19  8  8  8  8  8  8  8  8  8  8  8  8 12 12 12
 12 12 12 12 12 12 12 12 12 12 12  4  4  4  4  4  4  4  4  4  4  4 19 19
 19 19 19 19 19 19 19 19 19 19  8  8  8  2 11 11 11 11 11 11 11 15 15  8
  8  8 15  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 12 12 12 12 12 12
 12 12 12  8  8  8  8  8 12 12 12 12 12 12 12 12 12 12 12 12  8  8  8]"
6,0.44521739130434784,0.6568508853846012,0.032592058181762695,"[ 0  0 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 14 14 14 14 14  5
  5  5  5  5  5  5  5  5  5  5  5  5 11  5  6  6  6  6  6  6  6  6  6  6
 16 16 16 16 16 16 16 16 16 19 19 19 19 19 19 19 19 19 19 19 19 19  6  6
  6 16  8  8  8  8  8  8  8  8  8  8  8  8  8 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13  2  2  2  2  2  2  2  2  2  2  2  2  2 18 18 18
 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 19 19 19 19 19 19 19 19 19  6  6  1  1
  1 15 15 15 15 15 15 15  1  7  6  6  6  6  6  1  1  1  1 15 15 15 15 15
 15 15  6  6  6  6  7  1  1  1 15 15 15 15 15  3  1  1  1  1  1  7  7  7
  7  7  1  1  1  1  1  1 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15  7
  7  7  7  7  7  7  7  7  7  7  1  1  1  1  3  3  3  3  3  3  3  3  3  3
  3  7  7  7  7  1  1  1  1  1  1  1  1  1  1  1  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  1  1  1  1  1  1  1  1  1  1  1  1  1  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  9  9  9  0  0  0  0  0  0  0  0 10 10 10 10 14 14
 14 14 14 14 14 14 11 11 11 11 11  0  0 10 10 14 14 14 14 11 11  2  2  2
  2  2  2  2  2  2  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0 10 10 10 10 14 14
 14 11 11 11 11 11 11 11 11  2  2  6  6  6 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 19 19 19  7  7  7  7  7  7  7  7  7 12 12 12 12 12 12
 12 12 12 12 15 15 15 15 15 15 15  6  6  6 16 16 16 16 16 16 16 16 16 16
 15 15 15 15 15 15 15 15 15 15  2  2  2 18  4  4  4  4  4  4  4 18  2  2
  2  2  2  2  2 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
 12 12 12  2  2  2 12 12 12 12 12 12 12 12 12 15 12 12 12 12 12 12 12]"
7,0.4260869565217391,0.6374655355707515,0.027037858963012695,"[13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13  8  8  8  8  8  8 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 18 18 18 18 18 18 18 18 18 18
 18 18 19 19 19 19 19 19 19 19 14 14 14 14 14 14 14 14 14 14  7 14 18  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15  9  9  9  9  9  9  9  9  9  9  9  9  9 14 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 14 14 14 14 14 14 14 14 10 10 11 11
 11  1  3  3  1  1  1  3  6 11 10 10 10 10 10 11 11 11  1  1  3  3  3  1
  1  1 10 10 10 10 10 11 11  6  6  3  3  3  3  3  1  1  1  1  1 10 10 10
 10 11 11 11 11 11 11  1  6  1  1  6  3  3  3  3  3  3  3  3  1  1  1 10
 10 10 10 10 10 10 10 10 10 11 11 11 11  6  6  6  6  6  3  3  3  3  3  3
  3 10 10 10 10 11 11 11 11 11 11  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  3  3  3  3  3  3  3 10 10 10 10 10 10 10 10 10 10 10 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  6  6  6  6  6  6  6  6
 14 14 14 14 14 14 14 14 14 14  0  0  0  0  0  0  0  0  0 13  8  8  8  8
  8  8  8  8  5  5  5  5  5  5  5  0  0  0  8  8  8  8  5  5  5 15 15 15
 15 15 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17  0  0  0  0  0  0  0  0  0  0  0  8  8  8  8  8  8
  5  5  5  5  5  5  5  5  5 15 18 18 18 18 18 18 18  9  9  9  9  9  9  9
  9  9  9  9  9  9  7  7  7  4  4  4  4  4  4  4  4  4  4  4  4 16 16 16
 16 16 16 16 16 16 16 16  3  3  3  2  2  2  2  2  2  2  2  2  2  2  2  1
  1  1  1  1  1  1  1  1  1  1  4  4  4  9  9 16 16 16 16 16 17 17  4  4
  4  4 15  4  4  4  4  4  4  4  4  4  4  4  4  4  4 16 16 16 16 16 16 16
 16 16 16  4  4  4  4 16 16 16 16 16 16 16 16 16 16 16 16 16 16  4  4]"
8,0.45565217391304347,0.6610927355549963,0.03019857406616211,"[15 15 15 15 15 15 15 15 15 15 15 15 15 15 15  5  5  5  5  5  5  5  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  8  8 19 19 19 19 19  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 16  1 14 14
 14 14 10 10 10 10 10 10 10 10 10 10 10 10 10 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14  1  6  6  6  6  6  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  1 19 19 18 18
  2  2  4  4  2  2  2  4  2 19 19 19 19 19 19 19 18  2  2  2  2  4  4  2
  2  2 17 17 17 17 17 18 18  2  2  2  4  4  4  4  2  2  2  2  2 19 19 19
 19 19 18 18 18 18  2  2  2  2  2  2  2  2  4  4  4  4  4  4  2  2  2 17
 17 17 17 17 17 17 17 17 17 17 18 18 18  2  2  2  2  2  4  4  4  4  4  4
  4 17 17 19 18 18 18 18 18 18 18 18 18  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  9  9  9 19 19 19 19 19 19 19 19 19 19 19 18 18 18
 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18  9  9  9  9  9  9
  9  9  9  9  9  9  9  9  9  9  8  8  8  8  8  8  8  8 15 15  5  5  5  5
  5  5  5  5 13 13 13 13 13 13 13  8  8 15  5  5  5  5 13 13 13  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  6  6
 14 14 14 14 14 14 14  8  8  8  8  8  8  8  8  8  8  8  5  5  5  5  5  5
 13 13 13 13 13 13 13 13 13  3  3 19 19 19 19 19 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 16 16 16  3  3  3  3  3  3  3  3  3  3  3 12 12 12 12
 12 12 12 12 12  4  4  4  4  4  4  6  6  6  6  6  6  6  6  6  6  6  6  6
  2  2  2  2  2  2  2  4  4  4  3  3  3 14 12 12 12 12 12 12 12  0  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3 12 12 12 12 12 12 12 12
 12 12 12  3  3  3  3 12 12 12 12 12 12 12 12 12 12 12 12 12 12  3  3]"
9,0.4121739130434783,0.6294530706753843,0.03896927833557129,"[ 9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 12 12 12 12 12 12  1  1
  1  1 19 19 19 19 19 19 19 19 19 19  8 19 17 17 17 17 17 17 17  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  2  2  2
  2 14 14 14 14 14 14 14 14 14 14 14 14 14  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  3  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  6  6  7  7
 18 18  5  5 13 13 13  5 18  6  6  6  6  6  6  6  7 18 18 18 18  5  5 13
 13 13  6  6  6  6  6  7  7 18 18 18 18  5  5  5 13 13 13 13 13  6  6  6
  6  6  7  7  7  7 18 18 18 18 18 18 18 18  5  5  5  5  5  5 13 13 13  6
  6  6  6  6  6  6  6  6  6  7  7  7  7 18 18 18 18 18  5  5  5  5  5  5
  5  6  6  6  6  7  7  7  7  7  7  7  7 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10  5  5  5  5  5  5  6  6  6  6  6  6  6  6  6  6  6  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 17 17 17 17 17 17 17 17  9  9  9 12 12 12
 12 12 12 12  8  8  8  8  8  8  8 17 17  9  9 12 12 12  8  8  8 15 15 15
 15 15 15 15 15 15 15 15 15  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4 17 17 17 17 17 17 17  9  9  9  9  9  9  9  9 12 12
  8  8  8  8  8  8  8  8  8 15 17 17 17 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16  3  3  3  0  0  0  0  0  0  0  0  0  0  0  0 11 11 11
 11 11 11 11 11 11 11 11  5  5  5  2  2  2  2  2  2  2  2  2  2  2 13 13
 13 13 13 13 13 13 13 13  5  5  0  0  0  4 11 11 11 11 11 11  4  4 15  0
 15 15 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0 11 11 11 11 11 11 11
 11 11 11  0  0  0  0 11 11 11 11 11 11 11 11 11 11 11 11 11 11  0  0]"
