trial,lambda,acc,nmi,time,pred
0,1e-08,0.7234782608695652,0.8854802467687135,0.10616683959960938,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 15 16 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 19 19 19 11 19 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19  6  6  6  6
  6  6  6  6  3  3  3  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  3
  3  3  6  6  6  6  6  6  6  6  6  6  6  6  6  6  3  3  3  3  3  6  6  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  3  3  3  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  9  9  9  9  9  9  9  9 18 18 18 18 18 18
 18 18 18 18 18 18 18 15 15 15 15  9  9 18 18 18 18 18 18 15 15  5  5  5
  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  9  9  9  9  9  9  9  9  9  9  9 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 17 17 17 12 12 12 12 12 12 12 12 12 12 12 12
 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 13 13 13 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8]"
1,1e-08,0.7339130434782609,0.8936543144233031,0.19270014762878418,"[ 5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 18 11 12 12 12 12 12 12 12 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  0  0  0 10  0 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 14 14 14 14
 14 14 14 14  3  3  3 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14  3
  3  3 14 14 14 14 14 14 14 14 14 14 14 14 14 14  3  3  3  3  3 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14  3  3  3 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 18 18 18 18 18 18 18 18 18 18 16 16 16 16 16 16 18 18 18 18  9  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7 18 18 18 18 18 18 18 15 15 15 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  6  6  6  6  6  6  6 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17]"
2,1e-08,0.7339130434782609,0.8936543144233033,0.13247060775756836,"[ 6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6 12 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 19 12 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 16 16 16 17 16  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16  0  0  0  0
  0  0  0  0  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4
  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  4  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 19 19 19 19 19 19 19 19 19 19 14 14 14 14 14 14 19 19 19 19  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9 19 19 19 19 19 19 19 18 18 18  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11]"
3,1e-08,0.7234782608695652,0.8854802467687134,0.26131224632263184,"[ 6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6 14 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14  0 14 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 18 18 18 16 18 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 18 18 18 18 18 18
 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18  9  9  9  9
  9  9  9  9  2  2  2  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  2
  2  2  9  9  9  9  9  9  9  9  9  9  9  9  9  9  2  2  2  2  2  9  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  2  2  2  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1 12 12 12 12 12 12 12 12 17 17 17 17 17 17
 17 17 17 17 17 17 17  0  0  0  0 12 12 17 17 17 17 17 17  0  0 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 12 12 12 12 12 12 12 12 12 12 12  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0 11 11 11  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  5  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15]"
4,1e-08,0.7339130434782609,0.8936543144233031,0.10998773574829102,"[ 5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 12 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 19 12 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15  7  7  7 18  7  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  9  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  9  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  6  6  6  6
  6  6  6  6  2  2  2  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  2
  2  2  6  6  6  6  6  6  6  6  6  6  6  6  6  6  2  2  2  2  2  6  6  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  2  2  2  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 19 19 19 19 19 19 19 19 19 19 16 16 16 16 16 16 19 19 19 19 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 19 19 19 19 19 19 19 17 17 17 13 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 18 18 18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17
 17 17 17 17 17  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]"
5,1e-08,0.7339130434782609,0.893654314423303,0.21268677711486816,"[ 5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 13 13 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 18 13 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 17 17 17  0 17  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 12 12 12 12
 12 12 12 12  4  4  4 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  4
  4  4 12 12 12 12 12 12 12 12 12 12 12 12 12 12  4  4  4  4  4 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12  4  4  4 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
 12  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 18 18 18 18 18 18 18 18 18 18 15 15 15 15 15 15 18 18 18 18 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9 18 18 18 18 18 18 18  6  6  6 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  6 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16]"
6,1e-08,0.7147826086956521,0.8835393671641272,0.22243118286132812,"[ 5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 18 18 18 18
 18 18 18 18 18 18 18 18 18 18 18 18 13 18  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 19 19 19 15 19  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3 12 12 12 12 12 12 12 12 12
 12 12 12 12 12 12 12 12  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 10 10 10 10
 10 10 10 10  2  2  2 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2
  2  2 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2  2  2  2  2 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2  2  2 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1 17 17 17 17 17 17 17 17  7  7  7  7  7  7
  7  7  7  7  7 13 13 13 13 13 13 17 17  7  7  7  7  7 13 13 13 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 17 17 17 17 17 17 17 17 17 17 17 17 17 13 13 13 13
 13 13 13 13 13 13 13 13 13 16 16 16  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  6  6  6  6  6  6  6 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14]"
7,1e-08,0.7339130434782609,0.893654314423303,0.1299903392791748,"[ 8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 18  0  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 17 17 17  9 17 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 17 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14
 14 14 14 14  4  4  4 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14  4
  4  4 14 14 14 14 14 14 14 14 14 14 14 14 14 14  4  4  4  4  4 14 14 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14  4  4  4 14
 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
  3  3  3  3  3  3  3  3  3  3 12 12 12 12 12 12 12 12 12 12 12 12 12 12
 12 18 18 18 18 18 18 18 18 18 18 12 12 12 12 12 12 18 18 18 18 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
 11 11 11 11 11 11 11 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 18 18 18 18 18 18 18 19 19 19 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  6  6  6  6  6  6  6  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9  9  9  9  9  9 19 19 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13]"
8,1e-08,0.7182608695652174,0.8834430253426206,0.14863944053649902,"[ 5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 11 17  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7 13 13 13 15 13  3  3
  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3 12 12 12 12 12 12 12 12 12
 12 12 12 12 12 12 12 12  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13  0  0  0  0
  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2 18 18 18 18 18 18 18 18  9  9  9  9  9  9
  9  9  9  9 11 11 11 11 11 11 11 18 18  9  9  9  9  9 11 11 11 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 11
 11 11 11 11 11 11 11 11 11 14 14 14 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 14 14 14 14  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8]"
9,1e-08,0.7339130434782609,0.8936543144233031,0.2452254295349121,"[ 6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6 11 11 11 11
 11 11 11 11 11 11 11 11 11 11 11 11 17 11 18 18 18 18 18 18 18 18 18 18
 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 16 19 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 10 10 10 10
 10 10 10 10  3  3  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3
  3  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3  3  3  3  3 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3  3  3 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 14 14 14 14 14 14 14 14 14 14 14 14 14 14
 14 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 17 17 17 17 12 12 12
 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
 12 12 12 12 12 12 12  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5 17 17 17 17 17 17 17  9  9  9  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  7  7  7  7  7  7  7  7  7  7  7 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15]"
