trial,acc,nmi,time,pred
0,0.07166528583264292,0.08847331644479177,0.36103296279907227,[34 17 17 ... 36 28 28]
1,0.07622203811101906,0.09037989189067844,0.8487639427185059,[ 1  0  0 ... 11 11 31]
2,0.07580778790389395,0.09684313161479584,0.2535820007324219,[34 12 12 ... 28 28 21]
3,0.07497928748964375,0.10155144910577013,0.20711255073547363,[21  2  2 ...  7 32 26]
4,0.0811930405965203,0.09499664769733215,0.19334769248962402,[35 35  7 ...  4  4 27]
5,0.07580778790389395,0.0862066913851591,0.19591903686523438,[16  9  9 ... 17 17 15]
6,0.07415078707539353,0.09257631187351174,0.2354135513305664,[ 7  7 36 ... 37  2  2]
7,0.07083678541839271,0.09411908436905048,0.2671329975128174,[35 35  2 ... 24 37 37]
8,0.07829328914664457,0.09248183592064889,0.25176477432250977,[21  8  8 ... 31 31 13]
9,0.07332228666114333,0.08901589733654675,0.20244908332824707,[ 7  3  3 ...  5  5 28]
10,0.06669428334714167,0.08045696300766937,0.23453021049499512,[17 10  2 ... 19 24 24]
11,0.07083678541839271,0.08917947497493013,0.41701173782348633,[ 7  6  6 ... 24 31 31]
12,0.06710853355426678,0.07960905529751403,0.24393463134765625,[ 9 36 36 ...  6 19  0]
13,0.0695940347970174,0.08168448073759133,0.233748197555542,[23  6  6 ... 21 21  9]
14,0.0691797845898923,0.0805652014645867,0.30089640617370605,[37 37  3 ... 11  7 23]
15,0.0807787903893952,0.08592344386789436,0.22227931022644043,[28 20  8 ... 17 24  4]
16,0.0695940347970174,0.08359626732916506,0.21196579933166504,[21 21  0 ... 32 25 12]
17,0.07415078707539353,0.10096060664734367,0.21573877334594727,[33 33  7 ...  3 24  8]
18,0.07125103562551781,0.09586214137649138,0.28307318687438965,[11 11  1 ... 22 22 35]
19,0.07042253521126761,0.08841121550679228,0.2816765308380127,[ 0 33 33 ...  1  1 28]
