trial,lambda,acc,nmi,time,pred
0,1e-08,0.30488815244407624,0.487137361329332,3.101093292236328,[ 2  2  2 ...  4  4 12]
1,1e-08,0.30488815244407624,0.48697445771582687,4.485436916351318,[27 27 27 ...  0  0  8]
2,1e-08,0.304059652029826,0.4866560872029445,2.674070358276367,[ 0  0  0 ... 14 14 33]
3,1e-08,0.30488815244407624,0.489057516551294,2.0679712295532227,[ 1  1  1 ... 19 19 12]
4,1e-08,0.30530240265120134,0.4876654980412328,2.8476226329803467,[19 19 19 ... 30 30 17]
5,1e-08,0.30613090306545154,0.48633450027025976,3.2431721687316895,[17 17 17 ...  0  0 19]
6,1e-08,0.30571665285832644,0.4872480498049613,2.3130128383636475,[27 27 27 ...  0  0 11]
7,1e-08,0.30488815244407624,0.4864479801013919,2.201422929763794,[25 25 25 ...  2  2 11]
8,1e-08,0.30488815244407624,0.48642468229144303,2.1895976066589355,[22 22 22 ...  1  1 17]
9,1e-08,0.30488815244407624,0.48667492597195194,4.459436416625977,[26 26 26 ...  0  0 25]
10,1e-08,0.30447390223695114,0.48573412960011575,2.4134960174560547,[26 26 26 ...  2  2 32]
11,1e-08,0.304059652029826,0.4856887384707246,2.444998025894165,[ 2  2  2 ... 27 27 14]
12,1e-08,0.30530240265120134,0.4865260062622354,2.0306403636932373,[23 23 23 ...  0  0  9]
13,1e-08,0.30530240265120134,0.4938198535326849,3.8995449542999268,[12 12 12 ...  2  2  8]
14,1e-08,0.3036454018227009,0.4854454221857428,2.8894903659820557,[ 7  7  7 ... 32 32 14]
15,1e-08,0.30447390223695114,0.48686917701335614,4.280364036560059,[ 0  0  0 ... 27 27 12]
16,1e-08,0.30613090306545154,0.486875692422157,3.1414904594421387,[ 0  0  0 ... 31 31 16]
17,1e-08,0.30488815244407624,0.487137361329332,5.949623346328735,[ 2  2  2 ...  4  4 12]
18,1e-08,0.30571665285832644,0.4868150387256081,3.0697872638702393,[15 15 15 ... 26 26  3]
19,1e-08,0.30861640430820214,0.4856400458255943,3.7480247020721436,[ 1  1  1 ...  2  2 25]
0,1e-06,0.304059652029826,0.48557211115365123,5.9749438762664795,[17 17 17 ...  0  0 14]
1,1e-06,0.30571665285832644,0.48679434442535313,4.419765472412109,[ 4  4  4 ... 31 31 11]
2,1e-06,0.3032311516155758,0.48039898674553405,2.4779908657073975,[21 21 21 ... 32 32  5]
3,1e-06,0.3019884009942005,0.4846706374615743,2.6732897758483887,[28 28 28 ...  0  0  5]
4,1e-06,0.30530240265120134,0.48698089844977144,4.441603899002075,[15 15 15 ... 31 31  4]
5,1e-06,0.304059652029826,0.4860882847041019,3.6189260482788086,[21 21 21 ... 26 26  8]
6,1e-06,0.30530240265120134,0.4942943597734229,2.7986154556274414,[25 25 25 ... 33 33  9]
7,1e-06,0.30447390223695114,0.48522829628213576,2.044295072555542,[33 33 33 ...  0  0 14]
8,1e-06,0.30447390223695114,0.4863714716914403,2.399648427963257,[30 30 30 ... 34 34 10]
9,1e-06,0.304059652029826,0.49243415625312564,4.59334921836853,[27 27 27 ...  1  1 13]
10,1e-06,0.30571665285832644,0.48669641815176456,2.7114670276641846,[16 16 16 ... 32 32 17]
11,1e-06,0.304059652029826,0.4860572699704332,3.149703025817871,[18 18 18 ... 19 19 15]
12,1e-06,0.30488815244407624,0.48642225035618114,3.8822319507598877,[25 25 25 ... 34 34  6]
13,1e-06,0.30447390223695114,0.48686917701335614,3.2576136589050293,[23 23 23 ... 33 33 20]
14,1e-06,0.30530240265120134,0.48606002692974937,2.428800582885742,[29 29 29 ...  0  0 10]
15,1e-06,0.30488815244407624,0.4868651038797481,2.4565913677215576,[ 0  0  0 ... 34 34 13]
16,1e-06,0.30613090306545154,0.4838457633619949,4.462096929550171,[29 29 29 ...  2  2 18]
17,1e-06,0.30571665285832644,0.4955774945000617,2.431854724884033,[17 17 17 ... 29 29 19]
18,1e-06,0.30654515327257664,0.48036283457428103,2.4083244800567627,[25 25 25 ... 20 20 30]
19,1e-06,0.29453189726594864,0.4766662983806213,2.3129513263702393,[22 22 22 ...  0  0 12]
0,0.0001,0.30447390223695114,0.4803152386429398,1.7045307159423828,[21 21 21 ... 31 31 36]
1,0.0001,0.30488815244407624,0.4860977095623084,1.775606632232666,[30 30 30 ...  0  0 17]
2,0.0001,0.30695940347970174,0.48166448812993484,1.9450697898864746,[25 25 25 ...  0  0 11]
3,0.0001,0.304059652029826,0.48615042080294957,5.521883249282837,[16 16 16 ... 33 33 35]
4,0.0001,0.304059652029826,0.48689446386095,3.3275818824768066,[ 2  2  2 ...  0  0 10]
5,0.0001,0.30488815244407624,0.48571757432482804,2.483405113220215,[24 24 24 ...  0  0  5]
6,0.0001,0.304059652029826,0.4861276730931791,2.909684658050537,[19 19 19 ... 15 15  8]
7,0.0001,0.30488815244407624,0.4864229676273494,3.294792890548706,[20 20 20 ... 34 34 11]
8,0.0001,0.30530240265120134,0.4855120917859815,2.7457680702209473,[18 18 18 ...  1  1 17]
9,0.0001,0.30447390223695114,0.4860960890342021,2.18871808052063,[14 14 14 ... 33 33  8]
10,0.0001,0.3011599005799503,0.478856162712363,1.5161330699920654,[ 8  8  8 ... 17 17 10]
11,0.0001,0.30530240265120134,0.48544872117198984,2.7809817790985107,[31 31 31 ...  0  0 18]
12,0.0001,0.3015741507870754,0.4767588880955358,3.432095766067505,[18 18 18 ...  4  4 19]
13,0.0001,0.30488815244407624,0.48655954602134077,3.377854108810425,[24 24 24 ...  0  0 32]
14,0.0001,0.30613090306545154,0.4934388639810991,1.9526638984680176,[ 2  2  2 ... 34 34 13]
15,0.0001,0.30488815244407624,0.4862584994854872,2.423572301864624,[ 9  9  9 ... 32 32 14]
16,0.0001,0.3036454018227009,0.4848373468062779,5.024763107299805,[18 18 18 ...  0  0 12]
17,0.0001,0.304059652029826,0.47726568199933467,1.711275339126587,[33 33 33 ...  0  0 29]
18,0.0001,0.30571665285832644,0.49371887115248847,2.68424391746521,[26 26 26 ...  0  0  8]
19,0.0001,0.30530240265120134,0.4865913645449259,2.4598991870880127,[13 13 13 ... 34 34  9]
0,0.01,0.3264291632145816,0.5146838228240613,2.4018945693969727,[21 21 21 ...  2  2 29]
1,0.01,0.3256006628003314,0.5136289569713356,3.801520347595215,[11 11 11 ... 32 32 14]
2,0.01,0.3235294117647059,0.5113978398884883,4.291346073150635,[32 32 32 ...  1  1 15]
3,0.01,0.3264291632145816,0.5142065783573692,6.095252275466919,[10 10 10 ...  0  0 23]
4,0.01,0.3256006628003314,0.5134134267570362,5.227480173110962,[35 35 35 ... 33 33 11]
5,0.01,0.3264291632145816,0.5140300798910105,4.318364143371582,[16 16 16 ... 32 32 18]
6,0.01,0.3231151615575808,0.513125235485013,3.399644374847412,[18 18 18 ... 32 32 17]
7,0.01,0.3235294117647059,0.5121844245069648,4.937873125076294,[36 36 36 ...  1  1 22]
8,0.01,0.3256006628003314,0.5134836911607549,2.7528107166290283,[33 33 33 ...  1  1 12]
9,0.01,0.3260149130074565,0.5143108087058963,2.1669881343841553,[21 21 21 ... 34 34 19]
10,0.01,0.3256006628003314,0.5130279551360164,2.685467004776001,[ 0  0  0 ... 34 34 24]
11,0.01,0.3264291632145816,0.5151289078128035,4.045772552490234,[21 21 21 ...  0  0 13]
12,0.01,0.3231151615575808,0.512145659258267,3.1243667602539062,[ 1  1  1 ... 28 28 11]
13,0.01,0.3256006628003314,0.5129102246154715,3.3648078441619873,[20 20 20 ... 30 30 24]
14,0.01,0.32228666114333054,0.5122629425404946,2.2126243114471436,[31 31 31 ...  1  1 18]
15,0.01,0.3276719138359569,0.5133754278637953,4.191770553588867,[37 37 37 ...  0  0 21]
16,0.01,0.31897265948632975,0.5115559684522348,2.4919352531433105,[32 32 32 ... 16 16 20]
17,0.01,0.3260149130074565,0.5135962446416681,2.719212055206299,[ 0  0  0 ... 29 29 22]
18,0.01,0.3264291632145816,0.5140300798910106,5.581595420837402,[30 30 30 ... 27 27 21]
19,0.01,0.3260149130074565,0.5131111371515983,3.373823881149292,[19 19 19 ... 33 33 18]
0,1.0,0.4647887323943662,0.5641608970703146,4.611884593963623,[26 26 26 ...  8  8  8]
1,1.0,0.4652029826014913,0.5650164582869068,2.4606950283050537,[27 27 27 ... 34 34 34]
2,1.0,0.4656172328086164,0.5656069035821716,2.309356212615967,[ 0  0  0 ... 34 34 34]
3,1.0,0.47265948632974314,0.5669405500292086,3.3662688732147217,[ 2  2  2 ... 36 36 36]
4,1.0,0.4647887323943662,0.5636737721387489,5.5495195388793945,[12 12 12 ...  0  0  0]
5,1.0,0.4656172328086164,0.5652009150798406,2.5634777545928955,[24 24 24 ...  1  1  1]
6,1.0,0.4652029826014913,0.5649995545081554,3.15647292137146,[28 28 28 ... 35 35 35]
7,1.0,0.4656172328086164,0.5641795136833437,3.0076591968536377,[27 27 27 ... 33 33 33]
8,1.0,0.47183098591549294,0.5662307563779604,3.87898588180542,[32 32 32 ... 34 34 34]
9,1.0,0.4730737365368683,0.5663540243543752,2.207846164703369,[29 29 29 ... 34 34 34]
10,1.0,0.4652029826014913,0.5631539829356489,2.6825246810913086,[31 31 31 ...  0  0  0]
11,1.0,0.47265948632974314,0.5669405500292085,5.491164684295654,[28 28 28 ... 37 37 37]
12,1.0,0.4643744821872411,0.5656419190893314,3.286839008331299,[29 29 29 ... 35 35 35]
13,1.0,0.4643744821872411,0.5633074660460178,5.164989709854126,[31 31 31 ...  0  0  0]
14,1.0,0.4668599834299917,0.5659926744690902,5.653601408004761,[29 29 29 ... 35 35 35]
15,1.0,0.4647887323943662,0.5631966971722743,3.1482913494110107,[29 29 29 ... 37 37 37]
16,1.0,0.46975973487986744,0.5667061751366185,2.5513694286346436,[31 31 31 ... 34 34 34]
17,1.0,0.4656172328086164,0.5633983889244558,2.622680425643921,[20 20 20 ... 34 34 34]
18,1.0,0.4652029826014913,0.5631539829356488,3.0840611457824707,[ 3  3  3 ... 34 34 34]
19,1.0,0.4652029826014913,0.5639612709961828,2.1980080604553223,[28 28 28 ... 35 35 35]
0,100.0,0.4768019884009942,0.5657977120705822,5.756001234054565,[24 24 24 ... 36 36 36]
1,100.0,0.4768019884009942,0.5653575232030413,3.3546483516693115,[17 17 17 ...  5  5  5]
2,100.0,0.4768019884009942,0.5661227997394983,1.9961707592010498,[24 24 24 ... 36 36 36]
3,100.0,0.46727423363711684,0.5619642502270906,6.657477855682373,[24 24 24 ... 28 28 28]
4,100.0,0.4768019884009942,0.5656393082575879,2.464095115661621,[32 32 32 ... 34 34 34]
5,100.0,0.46810273405136704,0.5628170479432401,4.637085914611816,[26 26 26 ... 22 22 22]
6,100.0,0.4768019884009942,0.5658939211807474,3.43209171295166,[26 26 26 ... 36 36 36]
7,100.0,0.46851698425849214,0.5632950547107053,2.503143310546875,[15 15 15 ... 34 34 34]
8,100.0,0.46810273405136704,0.5631585598476108,2.5603811740875244,[22 22 22 ... 37 37 37]
9,100.0,0.4763877381938691,0.565213702130328,2.5023789405822754,[20 20 20 ... 37 37 37]
10,100.0,0.4652029826014913,0.5612103056801099,2.0760703086853027,[18 18 18 ... 37 37 37]
11,100.0,0.4772162386081193,0.5664325456775849,4.108068227767944,[28 28 28 ... 36 36 36]
12,100.0,0.46768848384424194,0.5618979814216145,2.6722371578216553,[25 25 25 ... 36 36 36]
13,100.0,0.4780447390223695,0.5657099880990156,2.2496204376220703,[23 23 23 ... 37 37 37]
14,100.0,0.4772162386081193,0.5661526466772131,5.655480623245239,[27 27 27 ...  7  7  7]
15,100.0,0.4763877381938691,0.5652137021303278,2.5905609130859375,[24 24 24 ... 37 37 37]
16,100.0,0.4772162386081193,0.5664325456775848,1.744532823562622,[23 23 23 ...  0  0  0]
17,100.0,0.46934548467274234,0.5642080384342013,1.9937877655029297,[14 14 14 ... 36 36 36]
18,100.0,0.46768848384424194,0.5616667455455404,2.5965054035186768,[26 26 26 ...  1  1  1]
19,100.0,0.4772162386081193,0.5661870644579827,5.153429985046387,[18 18 18 ...  1  1  1]
0,10000.0,0.4772162386081193,0.5661344126181153,2.217113733291626,[19 19 19 ... 34 34 34]
1,10000.0,0.4776304888152444,0.5665781375507246,4.726439952850342,[14 14 14 ... 36 36 36]
2,10000.0,0.4772162386081193,0.5668061664290246,4.553395986557007,[18 18 18 ...  6  6  6]
3,10000.0,0.4768019884009942,0.566151488642156,2.5403969287872314,[22 22 22 ...  1  1  1]
4,10000.0,0.46768848384424194,0.5626745702490316,4.6055121421813965,[23 23 23 ... 34 34 34]
5,10000.0,0.4768019884009942,0.5662214063818455,3.0209226608276367,[20 20 20 ...  0  0  0]
6,10000.0,0.46810273405136704,0.5627312156825385,2.028510093688965,[28 28 28 ...  0  0  0]
7,10000.0,0.4768019884009942,0.5653049852390976,2.5658340454101562,[18 18 18 ...  9  9  9]
8,10000.0,0.4763877381938691,0.5656026827981293,4.479629278182983,[19 19 19 ... 37 37 37]
9,10000.0,0.4784589892294946,0.5659153600829232,2.916530132293701,[ 1  1  1 ... 34 34 34]
10,10000.0,0.4772162386081193,0.5658978334299248,3.9511396884918213,[29 29 29 ... 34 34 34]
11,10000.0,0.46851698425849214,0.5639594615132572,4.522982120513916,[20 20 20 ... 34 34 34]
12,10000.0,0.4772162386081193,0.5664162211128622,2.937985420227051,[24 24 24 ...  8  8  8]
13,10000.0,0.46934548467274234,0.5642080384342013,2.7036986351013184,[24 24 24 ... 34 34 34]
14,10000.0,0.4763877381938691,0.565213702130328,2.7243800163269043,[31 31 31 ... 36 36 36]
15,10000.0,0.4768019884009942,0.571415818878131,4.656306505203247,[12 12 12 ...  0 33 33]
16,10000.0,0.4763877381938691,0.5649845131879168,3.8563313484191895,[17 17 17 ...  6  6  6]
17,10000.0,0.4768019884009942,0.5653049852390977,5.892261743545532,[19 19 19 ...  9  9  9]
18,10000.0,0.4668599834299917,0.5612891059619992,3.545788288116455,[24 24 24 ...  6  6  6]
19,10000.0,0.4772162386081193,0.5659596778110998,3.83186411857605,[26 26 26 ...  1  1  1]
0,1000000.0,0.4763877381938691,0.5654394650383535,6.505513668060303,[21 21 21 ... 27 27 27]
1,1000000.0,0.46768848384424194,0.5627447941604474,3.468785285949707,[ 6  6  6 ... 34 34 34]
2,1000000.0,0.4768019884009942,0.5661328867592473,2.469689130783081,[22 22 22 ... 36 36 36]
3,1000000.0,0.4768019884009942,0.5655341430237668,4.664326190948486,[ 7  7  7 ... 37 37 37]
4,1000000.0,0.46768848384424194,0.5618979814216145,1.9535260200500488,[29 29 29 ... 37 37 37]
5,1000000.0,0.46768848384424194,0.5622479069723917,4.127701759338379,[25 25 25 ... 36 36 36]
6,1000000.0,0.46810273405136704,0.5628355186790761,3.296234369277954,[ 6  6  6 ... 34 34 34]
7,1000000.0,0.46810273405136704,0.5628170479432401,5.339312314987183,[26 26 26 ... 27 27 27]
8,1000000.0,0.4772162386081193,0.5664696567036357,2.4371182918548584,[16 16 16 ... 35 35 35]
9,1000000.0,0.4763877381938691,0.5656026827981294,2.250200033187866,[26 26 26 ...  8  8  8]
10,1000000.0,0.4763877381938691,0.5658046510951551,4.429861307144165,[21 21 21 ... 30 30 30]
11,1000000.0,0.46727423363711684,0.5618442799673511,2.6938021183013916,[34 34 34 ...  9  9  9]
12,1000000.0,0.4768019884009942,0.5657358913420631,2.630707263946533,[12 12 12 ... 34 34 34]
13,1000000.0,0.4772162386081193,0.5660269519505335,2.4360978603363037,[31 31 31 ...  3  3  3]
14,1000000.0,0.47928748964374485,0.572895216504946,4.592729806900024,[22 22 22 ... 34 31 31]
15,1000000.0,0.46893123446561724,0.5641580905527068,2.177182674407959,[24 24 24 ... 33 33 33]
16,1000000.0,0.4772162386081193,0.5659445992543577,3.1502575874328613,[30 30 30 ...  7  7  7]
17,1000000.0,0.4772162386081193,0.5654433646113669,6.160687685012817,[33 33 33 ... 18 18 18]
18,1000000.0,0.46768848384424194,0.5622393007994064,3.3143951892852783,[27 27 27 ... 33 33 33]
19,1000000.0,0.46893123446561724,0.5629882141330658,1.4824583530426025,[18 18 18 ... 36 36 36]
0,100000000.0,0.46810273405136704,0.5626046614417708,4.360410690307617,[23 23 23 ... 30 30 30]
1,100000000.0,0.46851698425849214,0.5632267394770526,2.6490139961242676,[27 27 27 ... 33 33 33]
2,100000000.0,0.4768019884009942,0.56583229585404,5.494539976119995,[12 12 12 ...  4  4  4]
3,100000000.0,0.46975973487986744,0.5591442355177255,2.8146066665649414,[20 20 20 ... 35 35 35]
4,100000000.0,0.4768019884009942,0.5653938634503114,4.781873464584351,[13 13 13 ... 34 34 34]
5,100000000.0,0.4772162386081193,0.5667784731830876,3.43537974357605,[31 31 31 ... 33 33 33]
6,100000000.0,0.46810273405136704,0.5625167479997794,3.5653557777404785,[14 14 14 ... 37 37 37]
7,100000000.0,0.46768848384424194,0.5620706878062994,1.973048210144043,[25 25 25 ... 35 35 35]
8,100000000.0,0.4768019884009942,0.5659060651681267,2.212855100631714,[23 23 23 ...  1  1  1]
9,100000000.0,0.4768019884009942,0.5654726254403026,4.006220102310181,[16 16 16 ... 37 37 37]
10,100000000.0,0.46851698425849214,0.5627984134330184,2.735471248626709,[27 27 27 ... 34 34 34]
